,Year_0,row_id,train3_0
2,2026,2026_2,european materials modelling council
3,2026,2026_2,private trainings 
6,2026,2026_5,carpentries
9,2026,2026_8,local university
11,2026,2026_8,ncrm
12,2026,2026_8,nvidia dli
13,2026,2026_9,carpentries
15,2026,2026_9,deliver locally.
16,2026,2026_10,local training
18,2026,2026_11,lectures to first year phd students on basics of python
19,2026,2026_11,ml software
24,2026,2026_16,carpentries
25,2026,2026_16,carpentries
26,2026,2026_17,carpentries
27,2026,2026_17,developing
28,2026,2026_17,delivering local training
29,2026,2026_18,nvidia introduction to deep learning as part of their deep learning institute
33,2026,2026_21,open to ms
34,2026,2026_21,post docs. i am responsible for the material
35,2026,2026_21,carpentries
38,2026,2026_24,i sometimes talk at developer meetups
48,2026,2026_34,conference tutorials
49,2026,2026_34,bespoke client training programms
56,2026,2026_41,domain training
59,2026,2026_44,carpentries
61,2026,2026_46,carpentries
64,2026,2026_49,local university
74,2026,2026_59,rdm onboarding (barebones gitlab)
75,2026,2026_59,institution specific data literacy training
81,2026,2026_65,lokale weiterbildungen
93,2026,2026_76,fall schools
94,2026,2026_77,carpentries
95,2026,2026_77,training at universities in federal state
100,2026,2026_82,carpentries
101,2026,2026_82,introduction to scientific software
103,2026,2026_83,local university
104,2026,2026_83,lectures)
105,2026,2026_83,training in our software
107,2026,2026_85,local university
108,2026,2026_85,gpu hackathons
110,2026,2026_87,we run our own training
115,2026,2026_92,onboarding
116,2026,2026_92,gitlab introduction
117,2026,2026_92,digital literacy
118,2026,2026_92,eln introduction
119,2026,2026_93,software carpenty
120,2026,2026_93,code refinery
121,2026,2026_93,local university
122,2026,2026_94,local university
123,2026,2026_94,carpentries
134,2026,2026_105,project pythia
135,2026,2026_105,various nsf ncar efforts
136,2026,2026_106,cecam workshop
145,2026,2026_115,local university
146,2026,2026_115,carpentries
148,2026,2026_117,team training
150,2026,2026_118,tutorial sessions at agu
151,2026,2026_118,tutorial sessions at gem
152,2026,2026_118,classroom presentations for heliophyiscs grad students at ucla
153,2026,2026_118,tutorials at python
154,2026,2026_119,bring your own code workshops
155,2026,2026_119,online
159,2026,2026_123,carpentries
166,2026,2026_128,workshops
170,2026,2026_132,local training
173,2026,2026_135,local university
174,2026,2026_136,carpentries
178,2026,2026_140,carpentries
179,2026,2026_140,zbiw
181,2026,2026_142,carpentries
182,2026,2026_142,our own training
185,2026,2026_145,local training
187,2026,2026_147,universitätskurse im studienprogramm
210,2026,2026_170,local university
211,2026,2026_170,conference tutorials
222,2026,2026_181,keine
232,2026,2026_191,university workshops
233,2026,2026_191,conference tutorials
234,2026,2026_191,online
239,2026,2026_196,local training
245,2026,2026_202,local university
246,2026,2026_203,carpentries
247,2026,2026_203,coderefinery
248,2026,2026_203,local training
251,2026,2026_205,carpentries
253,2026,2026_206,carpentries
254,2026,2026_206,local university
276,2026,2026_228,carpentries
277,2026,2026_229,carpentries
278,2026,2026_229,my university
281,2026,2026_231,python
286,2026,2026_236,introductotion to python
289,2026,2026_239,i am training phd trainees in my research laboratory
299,2026,2026_249,local university
300,2026,2026_249,local chapter of derse community training
301,2026,2026_250,local university
311,2026,2026_260,offering internships
312,2026,2026_260,providing in house training
313,2026,2026_260,similar
315,2026,2026_262,local university
316,2026,2026_263,local university
330,2026,2026_277,local university
332,2026,2026_279,carpentries
333,2026,2026_279,local university
337,2026,2026_282,postgraduate courses
338,2026,2026_282,workshops for scientific societies
339,2026,2026_282,conference tutorials
342,2026,2026_285,local university
346,2026,2026_289,teaching a course on beginner's programming for scientists
347,2026,2026_290,lectures / workshop
353,2026,2026_296,coderefinery
354,2026,2026_296,local training
358,2026,2026_299,guest lecturing at university
364,2026,2026_305,local training
365,2026,2026_305,large user workshops
367,2026,2026_305,small training groups
368,2026,2026_306,local university
369,2026,2026_306,carpentries
370,2026,2026_307,local university
382,2026,2026_319,git migration training
385,2026,2026_322,local university
393,2026,2026_330,training organised by my organisation
394,2026,2026_330,including hackathons
395,2026,2026_330,courses
396,2026,2026_330,summer school
406,2026,2026_340,local university
407,2026,2026_341,local university
409,2026,2026_342,carpentries
410,2026,2026_342,coderefinery
411,2026,2026_343,jax behavior workshop
412,2026,2026_344,brseqtb training at university of são paulo
417,2026,2026_349,carpentries
419,2026,2026_350,software development best practices
420,2026,2026_351,bsc applied mathematics
421,2026,2026_351,msc applied mathematics
422,2026,2026_351,diverse applied courses in my university at bsc
423,2026,2026_351,msc
424,2026,2026_351,phd levels for applied researchers
425,2026,2026_352,arduino workshops
426,2026,2026_352,iot workshops
427,2026,2026_352,cnc workshops
430,2026,2026_355,carpentries
431,2026,2026_355,local university
432,2026,2026_356,hpc
434,2026,2026_358,local university
435,2026,2026_359,carpentries
436,2026,2026_359,local university
449,2026,2026_372,hifis schulugen
450,2026,2026_372,zentrumsinterne schulungen
451,2026,2026_373,local university
452,2026,2026_373,conference tutorials
455,2026,2026_376,programming courses for researchers
456,2026,2026_377,python
457,2026,2026_377,practicalmeeg
458,2026,2026_377,teaching at universities
459,2026,2026_377,random youtube videos
464,2026,2026_382,n.a.
470,2026,2026_388,coderefinery
471,2026,2026_388,local university
472,2026,2026_388,ai factories training
473,2026,2026_388,research council funded training
476,2026,2026_391,standard university curriculum
477,2026,2026_391,summer schools
482,2026,2026_395,local university
490,2026,2026_403,in house talks
492,2026,2026_405,de momento he participado (o voy a participar seguro) en coderefinery
495,2026,2026_407,coderefinery
496,2026,2026_407,local training
502,2026,2026_413,advanced python
503,2026,2026_413,hpc
504,2026,2026_413,python
506,2026,2026_415,coderefinery
512,2026,2026_421,hpc
513,2026,2026_421,conda
514,2026,2026_421,versionskontrolle
515,2026,2026_422,carpentries
516,2026,2026_422,carpentries
517,2026,2026_422,university training
531,2026,2026_436,carpentries
535,2026,2026_440,escience center digital skills program
536,2026,2026_441,local university
537,2026,2026_441,carpentries
538,2026,2026_442,carpentries
539,2026,2026_442,local university
540,2026,2026_443,lokale universitätskurse
542,2026,2026_445,offered through our organisation
545,2026,2026_448,carpentries
553,2026,2026_455,oareidiz
554,2026,2026_456,no formal program
558,2026,2026_459,local university
560,2026,2026_461,git
561,2026,2026_461,gitlab
575,2026,2026_475,recode (coding course for beginners at bam)
580,2026,2026_479,local training
585,2026,2026_484,reannz training
586,2026,2026_484,genomics aotearoa training
587,2026,2026_484,carpentries
589,2026,2026_486,carpentries
590,2026,2026_487,carpentries
591,2026,2026_487,local university
593,2026,2026_489,local university
605,2026,2026_501,carpentries
606,2026,2026_501,local university
608,2026,2026_503,carpentries
609,2026,2026_504,local computer science specific training
621,2026,2026_516,local university
627,2026,2026_522,universitätskurse
628,2026,2026_522,workshops organisiert von konferenzen
641,2026,2026_534,local university
642,2026,2026_534,carpentries
649,2026,2026_541,online
650,2026,2026_541,in person workshops on request
651,2026,2026_542,local training
653,2026,2026_544,local university
656,2026,2026_547,carpentries
657,2026,2026_547,coderefinery
658,2026,2026_547,andlocal university
660,2026,2026_549,git
661,2026,2026_549,github
662,2026,2026_549,gitlab
663,2026,2026_549,python
666,2026,2026_552,bsa reu
668,2026,2026_554,rladies rse chile
672,2026,2026_558,in house knowledg transfer
685,2026,2026_570,space science programme (masters course)
686,2026,2026_570,african institute for mathematical sciences (masters course) 
687,2026,2026_571,local university
688,2026,2026_571,github
689,2026,2026_571,and gis
690,2026,2026_572,zero
