,Year_0,row_id,proj5zaf[other]_0,proj5zaf
0,2026,2026_12,,CVS
1,2026,2026_187,,CVS
2,2026,2026_322,,CVS
3,2026,2026_455,,CVS
4,2026,2026_470,,CVS
5,2026,2026_584,,CVS
6,2026,2026_649,,CVS
7,2026,2026_684,,CVS
8,2026,2026_696,,CVS
9,2026,2026_700,,CVS
10,2026,2026_827,,CVS
11,2026,2026_850,,CVS
12,2026,2026_904,,CVS
13,2026,2026_928,RCS,CVS
14,2026,2026_1008,,CVS
15,2026,2026_1018,,CVS
16,2026,2026_1147,,CVS
17,2026,2026_1,,Git
18,2026,2026_2,,Git
19,2026,2026_3,,Git
20,2026,2026_5,,Git
21,2026,2026_8,,Git
22,2026,2026_9,,Git
23,2026,2026_10,,Git
24,2026,2026_11,,Git
25,2026,2026_12,,Git
26,2026,2026_13,,Git
27,2026,2026_15,,Git
28,2026,2026_16,,Git
29,2026,2026_17,,Git
30,2026,2026_18,,Git
31,2026,2026_19,,Git
32,2026,2026_21,,Git
33,2026,2026_23,,Git
34,2026,2026_24,,Git
35,2026,2026_27,,Git
36,2026,2026_29,,Git
37,2026,2026_30,,Git
38,2026,2026_31,,Git
39,2026,2026_32,,Git
40,2026,2026_34,,Git
41,2026,2026_35,,Git
42,2026,2026_39,,Git
43,2026,2026_40,,Git
44,2026,2026_41,,Git
45,2026,2026_44,,Git
46,2026,2026_45,,Git
47,2026,2026_46,,Git
48,2026,2026_48,,Git
49,2026,2026_49,,Git
50,2026,2026_51,,Git
51,2026,2026_54,,Git
52,2026,2026_56,,Git
53,2026,2026_59,,Git
54,2026,2026_60,,Git
55,2026,2026_61,,Git
56,2026,2026_65,,Git
57,2026,2026_66,,Git
58,2026,2026_67,,Git
59,2026,2026_68,,Git
60,2026,2026_69,,Git
61,2026,2026_70,,Git
62,2026,2026_72,,Git
63,2026,2026_73,,Git
64,2026,2026_76,,Git
65,2026,2026_77,,Git
66,2026,2026_81,,Git
67,2026,2026_82,,Git
68,2026,2026_83,,Git
69,2026,2026_84,,Git
70,2026,2026_85,,Git
71,2026,2026_86,,Git
72,2026,2026_87,,Git
73,2026,2026_88,,Git
74,2026,2026_89,,Git
75,2026,2026_90,,Git
76,2026,2026_91,,Git
77,2026,2026_92,,Git
78,2026,2026_93,,Git
79,2026,2026_94,,Git
80,2026,2026_95,,Git
81,2026,2026_97,,Git
82,2026,2026_98,,Git
83,2026,2026_101,,Git
84,2026,2026_102,,Git
85,2026,2026_103,,Git
86,2026,2026_105,,Git
87,2026,2026_106,,Git
88,2026,2026_107,,Git
89,2026,2026_108,,Git
90,2026,2026_109,,Git
91,2026,2026_110,,Git
92,2026,2026_115,,Git
93,2026,2026_116,,Git
94,2026,2026_117,,Git
95,2026,2026_118,,Git
96,2026,2026_119,,Git
97,2026,2026_121,,Git
98,2026,2026_122,,Git
99,2026,2026_123,,Git
100,2026,2026_124,,Git
101,2026,2026_125,,Git
102,2026,2026_127,,Git
103,2026,2026_128,,Git
104,2026,2026_130,,Git
105,2026,2026_132,,Git
106,2026,2026_133,,Git
107,2026,2026_134,,Git
108,2026,2026_135,,Git
109,2026,2026_136,,Git
110,2026,2026_140,,Git
111,2026,2026_142,,Git
112,2026,2026_143,,Git
113,2026,2026_144,,Git
114,2026,2026_145,,Git
115,2026,2026_146,,Git
116,2026,2026_147,,Git
117,2026,2026_148,,Git
118,2026,2026_149,,Git
119,2026,2026_150,,Git
120,2026,2026_151,,Git
121,2026,2026_153,,Git
122,2026,2026_154,,Git
123,2026,2026_157,,Git
124,2026,2026_162,,Git
125,2026,2026_163,,Git
126,2026,2026_164,,Git
127,2026,2026_167,,Git
128,2026,2026_168,,Git
129,2026,2026_169,,Git
130,2026,2026_170,,Git
131,2026,2026_176,,Git
132,2026,2026_177,,Git
133,2026,2026_180,,Git
134,2026,2026_183,,Git
135,2026,2026_185,,Git
136,2026,2026_187,,Git
137,2026,2026_188,,Git
138,2026,2026_189,,Git
139,2026,2026_190,,Git
140,2026,2026_191,,Git
141,2026,2026_192,,Git
142,2026,2026_193,,Git
143,2026,2026_194,,Git
144,2026,2026_195,,Git
145,2026,2026_196,,Git
146,2026,2026_197,,Git
147,2026,2026_198,,Git
148,2026,2026_200,,Git
149,2026,2026_202,,Git
150,2026,2026_203,,Git
151,2026,2026_204,,Git
152,2026,2026_205,,Git
153,2026,2026_206,,Git
154,2026,2026_209,,Git
155,2026,2026_210,,Git
156,2026,2026_211,,Git
157,2026,2026_212,,Git
158,2026,2026_214,,Git
159,2026,2026_215,,Git
160,2026,2026_216,,Git
161,2026,2026_217,,Git
162,2026,2026_218,,Git
163,2026,2026_219,,Git
164,2026,2026_220,,Git
165,2026,2026_221,,Git
166,2026,2026_222,,Git
167,2026,2026_223,,Git
168,2026,2026_227,,Git
169,2026,2026_228,,Git
170,2026,2026_229,fossil,Git
171,2026,2026_231,,Git
172,2026,2026_232,,Git
173,2026,2026_235,,Git
174,2026,2026_236,,Git
175,2026,2026_238,,Git
176,2026,2026_239,,Git
177,2026,2026_240,,Git
178,2026,2026_241,,Git
179,2026,2026_243,,Git
180,2026,2026_244,,Git
181,2026,2026_246,,Git
182,2026,2026_247,,Git
183,2026,2026_248,,Git
184,2026,2026_249,,Git
185,2026,2026_250,,Git
186,2026,2026_253,,Git
187,2026,2026_257,,Git
188,2026,2026_259,,Git
189,2026,2026_260,,Git
190,2026,2026_262,,Git
191,2026,2026_263,,Git
192,2026,2026_264,,Git
193,2026,2026_265,,Git
194,2026,2026_266,,Git
195,2026,2026_267,,Git
196,2026,2026_268,,Git
197,2026,2026_270,Jujutsu,Git
198,2026,2026_271,,Git
199,2026,2026_272,,Git
200,2026,2026_273,,Git
201,2026,2026_275,,Git
202,2026,2026_277,,Git
203,2026,2026_279,,Git
204,2026,2026_281,,Git
205,2026,2026_282,,Git
206,2026,2026_284,,Git
207,2026,2026_285,,Git
208,2026,2026_286,,Git
209,2026,2026_289,,Git
210,2026,2026_290,,Git
211,2026,2026_291,,Git
212,2026,2026_292,,Git
213,2026,2026_295,,Git
214,2026,2026_296,,Git
215,2026,2026_297,Fossil,Git
216,2026,2026_298,,Git
217,2026,2026_299,,Git
218,2026,2026_302,,Git
219,2026,2026_304,,Git
