,socio1_0,salary_nord_currency_0,salary_nord_0,nord_clean_socio4,socio4_0,socio10_0
52,Germany,,,,Between 66.000 and 76.999 EUR,E13
53,Germany,,,,Between 77.000 and 109.999 EUR,E15
54,Germany,,,,Between 66.000 and 76.999 EUR,E13
55,Germany,,,,Between 50.000 and 54.999 EUR,E13
56,Germany,,,,Between 55.000 and 65.999 EUR,E12
57,Germany,,,,Between 66.000 and 76.999 EUR,
58,Germany,,,,Between 55.000 and 65.999 EUR,E13
59,Germany,,,,,E13
60,Germany,,,,Between 77.000 and 109.999 EUR,E11
61,Germany,,,,Between 55.000 and 65.999 EUR,E13
62,Germany,,,,Between 66.000 and 76.999 EUR,E13
63,Germany,,,,Between 66.000 and 76.999 EUR,E13
64,Germany,,,,Between 50.000 and 54.999 EUR,E13
65,Germany,,,,Between 33.000 and 38.499 EUR,E13
66,Germany,,,,Between 38.500 and 43.999 EUR,E13
67,Germany,,,,Between 77.000 and 109.999 EUR,E14
68,Germany,,,,Between 66.000 and 76.999 EUR,E13
69,Germany,,,,Between 50.000 and 54.999 EUR,E13
70,Germany,,,,Between 38.500 and 43.999 EUR,E12
71,Germany,,,,Between 50.000 and 54.999 EUR,E13
72,Germany,,,,Between 77.000 and 109.999 EUR,E13
73,Germany,,,,Between 55.000 and 65.999 EUR,E13
74,Germany,,,,Between 77.000 and 109.999 EUR,
75,Germany,,,,Prefer not to say,
76,Germany,,,,Between 55.000 and 65.999 EUR,E13
77,Germany,,,,,E14
78,Germany,,,,Between 77.000 and 109.999 EUR,E13
79,Germany,,,,Between 55.000 and 65.999 EUR,E13
80,Germany,,,,Between 50.000 and 54.999 EUR,E13
81,Germany,,,,Between 38.500 and 43.999 EUR,E13
82,Germany,,,,Between 55.000 and 65.999 EUR,E13
83,Germany,,,,Between 55.000 and 65.999 EUR,E13
84,Germany,,,,More than 110.000 EUR,E15
85,Germany,,,,Between 55.000 and 65.999 EUR,E13
86,Germany,,,,,E13
87,Germany,,,,Between 77.000 and 109.999 EUR,E14
88,Germany,,,,Between 66.000 and 76.999 EUR,E13
89,Germany,,,,Between 27.500 and 32.999 EUR,E13
90,Germany,,,,Between 66.000 and 76.999 EUR,E14
91,Germany,,,,Between 66.000 and 76.999 EUR,E13
92,Germany,,,,Between 66.000 and 76.999 EUR,E13
93,Germany,,,,Between 55.000 and 65.999 EUR,E13
94,Germany,,,,Prefer not to say,E13
95,Germany,,,,Between 66.000 and 76.999 EUR,E13
96,Germany,,,,Between 50.000 and 54.999 EUR,E13
97,Germany,,,,Between 55.000 and 65.999 EUR,E13
98,Germany,,,,Between 66.000 and 76.999 EUR,E13
