,Year_0,row_id,currentEmp13[other]_0,currentEmp13
130,2026,2026_845,,Medicine and health sciences
131,2026,2026_854,,Medicine and health sciences
132,2026,2026_870,,Medicine and health sciences
133,2026,2026_874,,Medicine and health sciences
134,2026,2026_881,,Medicine and health sciences
135,2026,2026_882,,Medicine and health sciences
136,2026,2026_883,,Medicine and health sciences
137,2026,2026_884,,Medicine and health sciences
138,2026,2026_887,,Medicine and health sciences
139,2026,2026_895,,Medicine and health sciences
140,2026,2026_898,,Medicine and health sciences
141,2026,2026_900,,Medicine and health sciences
142,2026,2026_907,,Medicine and health sciences
143,2026,2026_913,,Medicine and health sciences
144,2026,2026_920,,Medicine and health sciences
145,2026,2026_924,,Medicine and health sciences
146,2026,2026_925,Chemistry,Medicine and health sciences
147,2026,2026_929,,Medicine and health sciences
148,2026,2026_931,,Medicine and health sciences
149,2026,2026_932,,Medicine and health sciences
150,2026,2026_934,,Medicine and health sciences
151,2026,2026_964,Statistics,Medicine and health sciences
152,2026,2026_969,,Medicine and health sciences
153,2026,2026_971,,Medicine and health sciences
154,2026,2026_976,,Medicine and health sciences
155,2026,2026_986,,Medicine and health sciences
156,2026,2026_1000,,Medicine and health sciences
157,2026,2026_1018,,Medicine and health sciences
158,2026,2026_1019,,Medicine and health sciences
159,2026,2026_1023,,Medicine and health sciences
160,2026,2026_1029,,Medicine and health sciences
161,2026,2026_1032,Bioinformatics,Medicine and health sciences
162,2026,2026_1035,,Medicine and health sciences
163,2026,2026_1039,,Medicine and health sciences
164,2026,2026_1046,Chemical sciences,Medicine and health sciences
165,2026,2026_1047,,Medicine and health sciences
166,2026,2026_1050,,Medicine and health sciences
167,2026,2026_1055,,Medicine and health sciences
168,2026,2026_1060,,Medicine and health sciences
169,2026,2026_1063,,Medicine and health sciences
170,2026,2026_1072,,Medicine and health sciences
171,2026,2026_1076,,Medicine and health sciences
172,2026,2026_1081,,Medicine and health sciences
173,2026,2026_1082,,Medicine and health sciences
174,2026,2026_1086,,Medicine and health sciences
175,2026,2026_1089,,Medicine and health sciences
176,2026,2026_1095,,Medicine and health sciences
177,2026,2026_1099,,Medicine and health sciences
178,2026,2026_1115,,Medicine and health sciences
179,2026,2026_1117,,Medicine and health sciences
180,2026,2026_1119,,Medicine and health sciences
181,2026,2026_1124,,Medicine and health sciences
182,2026,2026_1126,,Medicine and health sciences
183,2026,2026_1132,,Medicine and health sciences
184,2026,2026_1133,,Medicine and health sciences
185,2026,2026_1134,,Medicine and health sciences
186,2026,2026_1135,,Medicine and health sciences
187,2026,2026_1143,,Medicine and health sciences
188,2026,2026_1145,,Medicine and health sciences
189,2026,2026_1147,,Medicine and health sciences
190,2026,2026_1152,,Medicine and health sciences
191,2026,2026_1161,,Medicine and health sciences
192,2026,2026_1162,,Medicine and health sciences
193,2026,2026_3,,Biological sciences
194,2026,2026_8,Digital Humanities,Biological sciences
195,2026,2026_17,,Biological sciences
196,2026,2026_21,,Biological sciences
197,2026,2026_24,,Biological sciences
198,2026,2026_26,,Biological sciences
199,2026,2026_30,,Biological sciences
200,2026,2026_40,,Biological sciences
201,2026,2026_41,,Biological sciences
202,2026,2026_48,,Biological sciences
203,2026,2026_59,,Biological sciences
204,2026,2026_63,,Biological sciences
205,2026,2026_67,,Biological sciences
206,2026,2026_84,,Biological sciences
207,2026,2026_92,,Biological sciences
208,2026,2026_94,,Biological sciences
209,2026,2026_97,,Biological sciences
210,2026,2026_108,,Biological sciences
211,2026,2026_111,,Biological sciences
212,2026,2026_124,,Biological sciences
213,2026,2026_127,Kognitive Neurowissenschaften,Biological sciences
214,2026,2026_128,,Biological sciences
215,2026,2026_142,,Biological sciences
216,2026,2026_144,,Biological sciences
217,2026,2026_149,,Biological sciences
218,2026,2026_150,,Biological sciences
219,2026,2026_154,,Biological sciences
220,2026,2026_162,,Biological sciences
221,2026,2026_168,,Biological sciences
222,2026,2026_170,,Biological sciences
223,2026,2026_171,Statistics,Biological sciences
224,2026,2026_177,,Biological sciences
225,2026,2026_188,,Biological sciences
226,2026,2026_192,,Biological sciences
227,2026,2026_197,,Biological sciences
228,2026,2026_203,,Biological sciences
229,2026,2026_206,RSE,Biological sciences
230,2026,2026_210,Ecology and Environment,Biological sciences
231,2026,2026_216,,Biological sciences
232,2026,2026_219,,Biological sciences
233,2026,2026_228,,Biological sciences
234,2026,2026_231,,Biological sciences
235,2026,2026_232,,Biological sciences
236,2026,2026_236,,Biological sciences
237,2026,2026_248,,Biological sciences
238,2026,2026_249,,Biological sciences
239,2026,2026_251,,Biological sciences
240,2026,2026_257,,Biological sciences
241,2026,2026_262,,Biological sciences
242,2026,2026_263,,Biological sciences
243,2026,2026_264,,Biological sciences
244,2026,2026_266,,Biological sciences
245,2026,2026_270,,Biological sciences
246,2026,2026_272,,Biological sciences
247,2026,2026_273,,Biological sciences
248,2026,2026_279,,Biological sciences
249,2026,2026_282,,Biological sciences
250,2026,2026_289,,Biological sciences
251,2026,2026_292,,Biological sciences
252,2026,2026_296,,Biological sciences
253,2026,2026_301,,Biological sciences
254,2026,2026_312,,Biological sciences
255,2026,2026_316,,Biological sciences
256,2026,2026_317,,Biological sciences
257,2026,2026_328,,Biological sciences
258,2026,2026_333,,Biological sciences
259,2026,2026_340,,Biological sciences
260,2026,2026_343,,Biological sciences
261,2026,2026_346,,Biological sciences
262,2026,2026_350,,Biological sciences
263,2026,2026_351,,Biological sciences
264,2026,2026_352,,Biological sciences
265,2026,2026_355,,Biological sciences
266,2026,2026_359,,Biological sciences
267,2026,2026_362,,Biological sciences
268,2026,2026_363,,Biological sciences
269,2026,2026_364,,Biological sciences
270,2026,2026_367,,Biological sciences
271,2026,2026_369,,Biological sciences
272,2026,2026_377,,Biological sciences
273,2026,2026_378,,Biological sciences
274,2026,2026_383,,Biological sciences
275,2026,2026_385,,Biological sciences
276,2026,2026_387,,Biological sciences
277,2026,2026_389,,Biological sciences
278,2026,2026_393,,Biological sciences
279,2026,2026_398,,Biological sciences
280,2026,2026_399,,Biological sciences
281,2026,2026_403,,Biological sciences
282,2026,2026_408,,Biological sciences
283,2026,2026_411,,Biological sciences
284,2026,2026_413,,Biological sciences
285,2026,2026_414,,Biological sciences
286,2026,2026_415,,Biological sciences
287,2026,2026_418,,Biological sciences
288,2026,2026_426,,Biological sciences
289,2026,2026_439,,Biological sciences
290,2026,2026_442,,Biological sciences
291,2026,2026_456,,Biological sciences
292,2026,2026_457,,Biological sciences
293,2026,2026_459,,Biological sciences
294,2026,2026_461,,Biological sciences
295,2026,2026_466,,Biological sciences
296,2026,2026_470,,Biological sciences
297,2026,2026_478,,Biological sciences
298,2026,2026_484,,Biological sciences
299,2026,2026_486,Eath Sciences,Biological sciences
300,2026,2026_487,,Biological sciences
301,2026,2026_489,,Biological sciences
302,2026,2026_494,,Biological sciences
303,2026,2026_501,,Biological sciences
304,2026,2026_505,,Biological sciences
305,2026,2026_516,,Biological sciences
306,2026,2026_520,,Biological sciences
307,2026,2026_521,Chemistry,Biological sciences
308,2026,2026_523,,Biological sciences
309,2026,2026_529,,Biological sciences
310,2026,2026_533,,Biological sciences
311,2026,2026_534,,Biological sciences
312,2026,2026_547,,Biological sciences
313,2026,2026_548,,Biological sciences
314,2026,2026_571,Geosciences,Biological sciences
315,2026,2026_580,,Biological sciences
316,2026,2026_582,,Biological sciences
317,2026,2026_591,,Biological sciences
318,2026,2026_600,,Biological sciences
319,2026,2026_616,,Biological sciences
320,2026,2026_642,,Biological sciences
321,2026,2026_644,,Biological sciences
322,2026,2026_649,,Biological sciences
323,2026,2026_656,,Biological sciences
324,2026,2026_657,,Biological sciences
325,2026,2026_663,,Biological sciences
326,2026,2026_666,,Biological sciences
327,2026,2026_667,,Biological sciences
328,2026,2026_668,,Biological sciences
329,2026,2026_673,,Biological sciences
330,2026,2026_674,,Biological sciences
331,2026,2026_678,,Biological sciences
332,2026,2026_680,,Biological sciences
333,2026,2026_688,,Biological sciences
