,Year_0,row_id,org3nord[other]_0,org3nord
0,2026,2026_196,,"Organisation of conferences, workshops and similar events"
1,2026,2026_200,,"Organisation of conferences, workshops and similar events"
2,2026,2026_283,,"Organisation of conferences, workshops and similar events"
3,2026,2026_296,,"Organisation of conferences, workshops and similar events"
4,2026,2026_298,,"Organisation of conferences, workshops and similar events"
5,2026,2026_317,,"Organisation of conferences, workshops and similar events"
6,2026,2026_330,,"Organisation of conferences, workshops and similar events"
7,2026,2026_373,Political work at the level of institutions; policy work,"Organisation of conferences, workshops and similar events"
8,2026,2026_375,,"Organisation of conferences, workshops and similar events"
9,2026,2026_377,,"Organisation of conferences, workshops and similar events"
10,2026,2026_386,,"Organisation of conferences, workshops and similar events"
11,2026,2026_388,,"Organisation of conferences, workshops and similar events"
12,2026,2026_405,,"Organisation of conferences, workshops and similar events"
13,2026,2026_407,,"Organisation of conferences, workshops and similar events"
14,2026,2026_408,,"Organisation of conferences, workshops and similar events"
15,2026,2026_415,,"Organisation of conferences, workshops and similar events"
16,2026,2026_512,,"Organisation of conferences, workshops and similar events"
17,2026,2026_513,,"Organisation of conferences, workshops and similar events"
18,2026,2026_514,,"Organisation of conferences, workshops and similar events"
19,2026,2026_517,,"Organisation of conferences, workshops and similar events"
20,2026,2026_519,,"Organisation of conferences, workshops and similar events"
21,2026,2026_543,,"Organisation of conferences, workshops and similar events"
22,2026,2026_544,Guest in other academic conferences and workshop which are not strictly about RSE,"Organisation of conferences, workshops and similar events"
23,2026,2026_545,,"Organisation of conferences, workshops and similar events"
24,2026,2026_546,,"Organisation of conferences, workshops and similar events"
25,2026,2026_768,,"Organisation of conferences, workshops and similar events"
26,2026,2026_816,,"Organisation of conferences, workshops and similar events"
27,2026,2026_910,,"Organisation of conferences, workshops and similar events"
28,2026,2026_929,,"Organisation of conferences, workshops and similar events"
29,2026,2026_967,,"Organisation of conferences, workshops and similar events"
30,2026,2026_968,,"Organisation of conferences, workshops and similar events"
31,2026,2026_972,,"Organisation of conferences, workshops and similar events"
32,2026,2026_975,,"Organisation of conferences, workshops and similar events"
33,2026,2026_1012,,"Organisation of conferences, workshops and similar events"
34,2026,2026_1013,,"Organisation of conferences, workshops and similar events"
35,2026,2026_1031,,"Organisation of conferences, workshops and similar events"
36,2026,2026_1039,,"Organisation of conferences, workshops and similar events"
37,2026,2026_1057,,"Organisation of conferences, workshops and similar events"
38,2026,2026_1068,,"Organisation of conferences, workshops and similar events"
39,2026,2026_1069,,"Organisation of conferences, workshops and similar events"
40,2026,2026_1071,,"Organisation of conferences, workshops and similar events"
41,2026,2026_1072,,"Organisation of conferences, workshops and similar events"
42,2026,2026_1073,,"Organisation of conferences, workshops and similar events"
43,2026,2026_1079,,"Organisation of conferences, workshops and similar events"
44,2026,2026_1080,,"Organisation of conferences, workshops and similar events"
45,2026,2026_1081,,"Organisation of conferences, workshops and similar events"
46,2026,2026_1086,,"Organisation of conferences, workshops and similar events"
47,2026,2026_1088,,"Organisation of conferences, workshops and similar events"
48,2026,2026_1089,,"Organisation of conferences, workshops and similar events"
49,2026,2026_1091,,"Organisation of conferences, workshops and similar events"
50,2026,2026_1093,Indentify a person involved in the politics and administration of each university to affect budget and planning decisions about RSE development,"Organisation of conferences, workshops and similar events"
51,2026,2026_1101,,"Organisation of conferences, workshops and similar events"
52,2026,2026_1110,,"Organisation of conferences, workshops and similar events"
53,2026,2026_1113,,"Organisation of conferences, workshops and similar events"
54,2026,2026_1116,,"Organisation of conferences, workshops and similar events"
55,2026,2026_1117,,"Organisation of conferences, workshops and similar events"
56,2026,2026_1125,,"Organisation of conferences, workshops and similar events"
57,2026,2026_1133,,"Organisation of conferences, workshops and similar events"
58,2026,2026_1134,,"Organisation of conferences, workshops and similar events"
59,2026,2026_1145,,"Organisation of conferences, workshops and similar events"
60,2026,2026_1159,,"Organisation of conferences, workshops and similar events"
61,2026,2026_196,,Running regular online talk-series
62,2026,2026_200,,Running regular online talk-series
63,2026,2026_296,,Running regular online talk-series
64,2026,2026_377,,Running regular online talk-series
65,2026,2026_386,,Running regular online talk-series
66,2026,2026_405,,Running regular online talk-series
67,2026,2026_514,,Running regular online talk-series
68,2026,2026_543,,Running regular online talk-series
69,2026,2026_768,,Running regular online talk-series
70,2026,2026_1057,,Running regular online talk-series
71,2026,2026_1068,,Running regular online talk-series
72,2026,2026_1069,,Running regular online talk-series
73,2026,2026_1071,,Running regular online talk-series
74,2026,2026_1072,,Running regular online talk-series
75,2026,2026_1075,,Running regular online talk-series
76,2026,2026_1080,,Running regular online talk-series
77,2026,2026_1086,,Running regular online talk-series
78,2026,2026_1116,,Running regular online talk-series
79,2026,2026_1117,,Running regular online talk-series
80,2026,2026_1125,,Running regular online talk-series
81,2026,2026_1133,,Running regular online talk-series
