,Year_0,row_id,conf2can_0
10,2026,2026_10,Domain conferences/workshops (MRS
11,2026,2026_10,EMRS RSC
12,2026,2026_10,Faraday Discussions
13,2026,2026_10,PSDI workshops)
14,2026,2026_11,UK Swift HEP workshops
16,2026,2026_12,ADASS
17,2026,2026_12,IVOA
18,2026,2026_12,some other astronomy conferences
19,2026,2026_13,RSECon
20,2026,2026_13,NERC Digital Gathering
22,2026,2026_15,RSECon
25,2026,2026_18,Empirical Methods in Natural Language Processing Conference
38,2026,2026_30,EBRAINS / HBP Summit and workshops
49,2026,2026_41,TNC PEARC TechX
54,2026,2026_46,a few
57,2026,2026_48,ELIXIR Pathogen Data Focus Group
60,2026,2026_51,ADASS and numerous other conferences
65,2026,2026_56,SIAM conferences
66,2026,2026_56,domain workshops
70,2026,2026_59,MPG FDM
71,2026,2026_60,ECCOMAS
72,2026,2026_60,WCCM
73,2026,2026_60,ICOSAHOM
74,2026,2026_60,GAMMS RSE
77,2026,2026_61,Symposium on Software Performance (SSP)
82,2026,2026_65,DHd
83,2026,2026_66,SIAM CSE
85,2026,2026_68,EGU
98,2026,2026_81,AIAA
99,2026,2026_81,ECCOMAS
101,2026,2026_83,Topical conferences
103,2026,2026_83,where our users go to
104,2026,2026_84,Cancer Genomics Consortium
107,2026,2026_87,Vision Sciences Society
108,2026,2026_87,Society for Neuroscience
111,2026,2026_90,deRSE
112,2026,2026_90,barcamp open science
113,2026,2026_90,open science days
114,2026,2026_91,Helmholtz metadata conference
115,2026,2026_92,MPG FDM workshop
117,2026,2026_92,ELN workshops
118,2026,2026_93,deRSE
119,2026,2026_93,ukRSE
120,2026,2026_94,JuliaCon
121,2026,2026_94,deRSE
122,2026,2026_94,Third Infinity
129,2026,2026_101,American Geophysical Union Fall Meeting
133,2026,2026_105,UCAR SEA's Improving Scientific Software Conference
134,2026,2026_105,American Meteorological Society Annual Meeting
135,2026,2026_105,American Geophysical Union Annual Meeting
136,2026,2026_106,deRSE conference
137,2026,2026_106,WATOC
140,2026,2026_108,Many
143,2026,2026_110,SIAM
144,2026,2026_110,USRSE
145,2026,2026_110,INMM
151,2026,2026_115,Goldschmidt
154,2026,2026_118,ADASS
155,2026,2026_118,AAS
156,2026,2026_118,IAU
157,2026,2026_118,DASH
158,2026,2026_118,AGU
164,2026,2026_123,RSECon
166,2026,2026_125,very different
173,2026,2026_132,EGU
174,2026,2026_132,some topical conferences
175,2026,2026_133,deRSE
176,2026,2026_134,Comparative Oceanic Linguistics
177,2026,2026_134,Canberra
179,2026,2026_135,RSECon
180,2026,2026_136,RSECon
181,2026,2026_136,Collaborations Workshop
182,2026,2026_136,IEEE eScience
186,2026,2026_140,e.g. European Library Automation Group (ELAG)
187,2026,2026_140,Semantic Web in Libraries (SWIB)
192,2026,2026_145,EGU
193,2026,2026_145,Liege Colloquium
202,2026,2026_153,Multiple
203,2026,2026_153,including ADHO
204,2026,2026_153,EADH
213,2026,2026_162,deRSE
214,2026,2026_162,HMC Conference
215,2026,2026_162,NOBUGS
216,2026,2026_162,SaxFDM Tagung
222,2026,2026_168,Biometrisches Kolloquium
231,2026,2026_177,SIB
242,2026,2026_188,bioinformatic conferences: ECCB
243,2026,2026_188,ISMB
244,2026,2026_189,SKACH Winter meeting
245,2026,2026_190,APS March meeting
247,2026,2026_191,useR!
248,2026,2026_191,posit::conf
249,2026,2026_191,LatinR
250,2026,2026_191,European R Users Meeting
252,2026,2026_191,RencontresR
253,2026,2026_191,uRos
254,2026,2026_191,RSS
255,2026,2026_191,JSM
256,2026,2026_191,COMPSTAT
257,2026,2026_191,Australasian Region Biometrics Conference
260,2026,2026_191,Collaborations Workshop
272,2026,2026_202,EGU
273,2026,2026_202,AGU
277,2026,2026_205,Different RSE conferences & related workshops
280,2026,2026_206,ACM PEPM
281,2026,2026_206,project workshops
286,2026,2026_210,Ecological Modelling conference
287,2026,2026_211,RSE Conferences
288,2026,2026_212,ESA Living Planet Symposium
295,2026,2026_218,ESPREsSo summer school
296,2026,2026_218,Leipzig summer schoon on active matter
297,2026,2026_218,APS March Meeting
303,2026,2026_224,American Chemical Society
306,2026,2026_227,RSECon
310,2026,2026_231,CECAM ESPResSo Summer School
315,2026,2026_236,IEEE eScience conference
316,2026,2026_236,deRSE conference 
319,2026,2026_239,CARIBBEAN REGIONAL CONFERENCE OF PSYCHOLOGY
320,2026,2026_239,Interamerican Congress of Psychology
322,2026,2026_241,DH
323,2026,2026_241,CHR
326,2026,2026_244,ISMRM
327,2026,2026_244,MICCAI
330,2026,2026_247,DHd
333,2026,2026_249,USRSE
