,Year_0,row_id,genAI3[other]_0,genAI3
167,2026,2026_488,,ChatGPT
168,2026,2026_496,perplexity,ChatGPT
169,2026,2026_501,,ChatGPT
170,2026,2026_504,,ChatGPT
171,2026,2026_506,,ChatGPT
172,2026,2026_510,,ChatGPT
173,2026,2026_511,,ChatGPT
174,2026,2026_514,,ChatGPT
175,2026,2026_515,,ChatGPT
176,2026,2026_516,"Antigravity, Codex",ChatGPT
177,2026,2026_517,,ChatGPT
178,2026,2026_520,,ChatGPT
179,2026,2026_523,,ChatGPT
180,2026,2026_534,,ChatGPT
181,2026,2026_537,,ChatGPT
182,2026,2026_542,DeepSeek,ChatGPT
183,2026,2026_543,,ChatGPT
184,2026,2026_550,,ChatGPT
185,2026,2026_552,,ChatGPT
186,2026,2026_554,,ChatGPT
187,2026,2026_557,,ChatGPT
188,2026,2026_562,,ChatGPT
189,2026,2026_577,,ChatGPT
190,2026,2026_582,,ChatGPT
191,2026,2026_590,"Helmholtz Blablador, GWDG Chat-AI, in-house service",ChatGPT
192,2026,2026_591,,ChatGPT
193,2026,2026_593,,ChatGPT
194,2026,2026_596,,ChatGPT
195,2026,2026_597,QWEN3 Coder,ChatGPT
196,2026,2026_598,,ChatGPT
197,2026,2026_603,,ChatGPT
198,2026,2026_612,ChatAI,ChatGPT
199,2026,2026_616,,ChatGPT
200,2026,2026_617,"Blablador, chat-ai.academiccloud.de",ChatGPT
201,2026,2026_620,,ChatGPT
202,2026,2026_622,,ChatGPT
203,2026,2026_624,,ChatGPT
204,2026,2026_625,,ChatGPT
205,2026,2026_631,,ChatGPT
206,2026,2026_634,,ChatGPT
207,2026,2026_636,"Locally hosted LLMs, e.g., Qwen3",ChatGPT
208,2026,2026_644,,ChatGPT
209,2026,2026_649,,ChatGPT
210,2026,2026_653,,ChatGPT
211,2026,2026_658,,ChatGPT
212,2026,2026_662,,ChatGPT
213,2026,2026_663,,ChatGPT
214,2026,2026_664,,ChatGPT
215,2026,2026_666,,ChatGPT
216,2026,2026_667,,ChatGPT
217,2026,2026_671,Duck AI,ChatGPT
218,2026,2026_675,,ChatGPT
219,2026,2026_683,,ChatGPT
220,2026,2026_684,,ChatGPT
221,2026,2026_685,,ChatGPT
222,2026,2026_688,,ChatGPT
223,2026,2026_689,,ChatGPT
224,2026,2026_692,,ChatGPT
225,2026,2026_700,,ChatGPT
226,2026,2026_701,,ChatGPT
227,2026,2026_707,,ChatGPT
228,2026,2026_708,,ChatGPT
229,2026,2026_709,,ChatGPT
230,2026,2026_716,,ChatGPT
231,2026,2026_719,QWENT 3 Coder,ChatGPT
232,2026,2026_721,,ChatGPT
233,2026,2026_722,,ChatGPT
234,2026,2026_724,,ChatGPT
235,2026,2026_730,,ChatGPT
236,2026,2026_736,,ChatGPT
237,2026,2026_740,,ChatGPT
238,2026,2026_744,DeepSeek,ChatGPT
239,2026,2026_746,,ChatGPT
240,2026,2026_750,,ChatGPT
241,2026,2026_755,Deepseek,ChatGPT
242,2026,2026_756,,ChatGPT
243,2026,2026_761,,ChatGPT
244,2026,2026_765,,ChatGPT
245,2026,2026_779,,ChatGPT
246,2026,2026_781,,ChatGPT
247,2026,2026_785,,ChatGPT
248,2026,2026_790,,ChatGPT
249,2026,2026_791,,ChatGPT
250,2026,2026_792,Windsurf,ChatGPT
251,2026,2026_797,,ChatGPT
252,2026,2026_801,,ChatGPT
253,2026,2026_802,,ChatGPT
254,2026,2026_804,Internally hosted models via vLLM,ChatGPT
255,2026,2026_806,,ChatGPT
256,2026,2026_811,,ChatGPT
257,2026,2026_815,,ChatGPT
258,2026,2026_816,openai codex,ChatGPT
259,2026,2026_817,,ChatGPT
260,2026,2026_822,,ChatGPT
261,2026,2026_823,,ChatGPT
262,2026,2026_825,,ChatGPT
263,2026,2026_834,,ChatGPT
264,2026,2026_841,,ChatGPT
265,2026,2026_845,,ChatGPT
266,2026,2026_850,,ChatGPT
267,2026,2026_854,,ChatGPT
268,2026,2026_870,,ChatGPT
269,2026,2026_871,,ChatGPT
270,2026,2026_874,,ChatGPT
271,2026,2026_875,,ChatGPT
272,2026,2026_876,Codex,ChatGPT
273,2026,2026_878,,ChatGPT
274,2026,2026_881,,ChatGPT
275,2026,2026_884,,ChatGPT
276,2026,2026_891,,ChatGPT
277,2026,2026_892,,ChatGPT
278,2026,2026_895,,ChatGPT
279,2026,2026_896,,ChatGPT
280,2026,2026_900,,ChatGPT
281,2026,2026_901,,ChatGPT
282,2026,2026_903,,ChatGPT
283,2026,2026_904,,ChatGPT
284,2026,2026_905,,ChatGPT
285,2026,2026_906,,ChatGPT
286,2026,2026_909,,ChatGPT
287,2026,2026_923,,ChatGPT
288,2026,2026_924,,ChatGPT
289,2026,2026_926,,ChatGPT
290,2026,2026_927,,ChatGPT
291,2026,2026_929,,ChatGPT
292,2026,2026_930,,ChatGPT
293,2026,2026_932,,ChatGPT
294,2026,2026_939,,ChatGPT
295,2026,2026_940,,ChatGPT
296,2026,2026_942,,ChatGPT
297,2026,2026_946,Proton Lumo,ChatGPT
298,2026,2026_951,,ChatGPT
299,2026,2026_952,,ChatGPT
300,2026,2026_954,,ChatGPT
301,2026,2026_955,,ChatGPT
302,2026,2026_962,,ChatGPT
303,2026,2026_964,,ChatGPT
304,2026,2026_968,,ChatGPT
305,2026,2026_969,lumo,ChatGPT
306,2026,2026_973,,ChatGPT
307,2026,2026_975,Mistral,ChatGPT
308,2026,2026_976,,ChatGPT
309,2026,2026_978,,ChatGPT
310,2026,2026_979,,ChatGPT
311,2026,2026_980,Microsoft co-pilot & Perplexity.ai,ChatGPT
312,2026,2026_982,,ChatGPT
313,2026,2026_987,,ChatGPT
314,2026,2026_1001,,ChatGPT
315,2026,2026_1007,,ChatGPT
316,2026,2026_1012,,ChatGPT
317,2026,2026_1016,,ChatGPT
318,2026,2026_1026,,ChatGPT
319,2026,2026_1028,Mistral,ChatGPT
320,2026,2026_1031,,ChatGPT
321,2026,2026_1035,,ChatGPT
322,2026,2026_1038,,ChatGPT
