,Year_0,row_id,org4nord[other]_0,org4nord
122,2026,2026_515,,
123,2026,2026_543,,
124,2026,2026_545,,
125,2026,2026_546,,
126,2026,2026_768,,
127,2026,2026_929,,
128,2026,2026_967,,
129,2026,2026_1012,,
130,2026,2026_1013,,
131,2026,2026_1031,,
132,2026,2026_1057,,
133,2026,2026_1071,,
134,2026,2026_1072,,
135,2026,2026_1073,,
136,2026,2026_1080,,
137,2026,2026_1093,Lobby for funding from funding agencies to invest in research software projects and maintenance of existing software projects,
138,2026,2026_1113,,
139,2026,2026_1116,,
140,2026,2026_1117,,
141,2026,2026_1124,,
142,2026,2026_1125,,
143,2026,2026_1135,,
144,2026,2026_1145,,
145,2026,2026_1159,,
146,2026,2026_317,,Research on RSE topics
147,2026,2026_330,,Research on RSE topics
148,2026,2026_373,"Personal grants for RSE (fellowships, travel grants)",Research on RSE topics
149,2026,2026_377,,Research on RSE topics
150,2026,2026_405,,Research on RSE topics
151,2026,2026_407,,Research on RSE topics
152,2026,2026_415,,Research on RSE topics
153,2026,2026_546,,Research on RSE topics
154,2026,2026_816,,Research on RSE topics
155,2026,2026_914,,Research on RSE topics
156,2026,2026_929,,Research on RSE topics
157,2026,2026_967,,Research on RSE topics
158,2026,2026_968,,Research on RSE topics
159,2026,2026_975,,Research on RSE topics
160,2026,2026_1012,,Research on RSE topics
161,2026,2026_1013,,Research on RSE topics
162,2026,2026_1071,,Research on RSE topics
163,2026,2026_1075,,Research on RSE topics
164,2026,2026_1080,,Research on RSE topics
165,2026,2026_1086,,Research on RSE topics
166,2026,2026_1089,,Research on RSE topics
167,2026,2026_1093,Lobby for funding from funding agencies to invest in research software projects and maintenance of existing software projects,Research on RSE topics
168,2026,2026_1101,,Research on RSE topics
169,2026,2026_1124,,Research on RSE topics
170,2026,2026_1125,,Research on RSE topics
171,2026,2026_1128,,Research on RSE topics
172,2026,2026_1133,"Clarify difference between scripts and software (many don't seem to know the difference, anyone generating scripts to analyze data does not constitute software)",Research on RSE topics
173,2026,2026_1134,,Research on RSE topics
174,2026,2026_1159,,Research on RSE topics
175,2026,2026_196,,Community engagement and trainings
176,2026,2026_289,,Community engagement and trainings
177,2026,2026_296,,Community engagement and trainings
178,2026,2026_298,,Community engagement and trainings
179,2026,2026_317,,Community engagement and trainings
180,2026,2026_330,,Community engagement and trainings
181,2026,2026_373,"Personal grants for RSE (fellowships, travel grants)",Community engagement and trainings
182,2026,2026_388,,Community engagement and trainings
183,2026,2026_405,,Community engagement and trainings
184,2026,2026_407,,Community engagement and trainings
185,2026,2026_408,,Community engagement and trainings
186,2026,2026_415,,Community engagement and trainings
187,2026,2026_512,,Community engagement and trainings
188,2026,2026_543,,Community engagement and trainings
189,2026,2026_545,,Community engagement and trainings
190,2026,2026_910,,Community engagement and trainings
191,2026,2026_914,,Community engagement and trainings
192,2026,2026_929,,Community engagement and trainings
193,2026,2026_967,,Community engagement and trainings
194,2026,2026_975,,Community engagement and trainings
195,2026,2026_1012,,Community engagement and trainings
196,2026,2026_1013,,Community engagement and trainings
197,2026,2026_1031,,Community engagement and trainings
198,2026,2026_1039,,Community engagement and trainings
199,2026,2026_1057,,Community engagement and trainings
200,2026,2026_1068,,Community engagement and trainings
201,2026,2026_1069,,Community engagement and trainings
202,2026,2026_1070,,Community engagement and trainings
203,2026,2026_1071,,Community engagement and trainings
204,2026,2026_1072,,Community engagement and trainings
205,2026,2026_1073,,Community engagement and trainings
206,2026,2026_1075,,Community engagement and trainings
207,2026,2026_1080,,Community engagement and trainings
208,2026,2026_1081,,Community engagement and trainings
209,2026,2026_1088,,Community engagement and trainings
