,Year_0,row_id,proj6zaf[other]_0,proj6zaf
0,2026,2026_8,,Bitbucket
1,2026,2026_9,,Bitbucket
2,2026,2026_31,,Bitbucket
3,2026,2026_154,,Bitbucket
4,2026,2026_169,,Bitbucket
5,2026,2026_235,,Bitbucket
6,2026,2026_238,,Bitbucket
7,2026,2026_397,,Bitbucket
8,2026,2026_413,"Codeberg, Forgejo",Bitbucket
9,2026,2026_458,,Bitbucket
10,2026,2026_481,,Bitbucket
11,2026,2026_484,,Bitbucket
12,2026,2026_486,,Bitbucket
13,2026,2026_552,,Bitbucket
14,2026,2026_562,,Bitbucket
15,2026,2026_573,,Bitbucket
16,2026,2026_588,,Bitbucket
17,2026,2026_589,,Bitbucket
18,2026,2026_643,,Bitbucket
19,2026,2026_664,,Bitbucket
20,2026,2026_711,,Bitbucket
21,2026,2026_713,,Bitbucket
22,2026,2026_835,,Bitbucket
23,2026,2026_870,,Bitbucket
24,2026,2026_878,,Bitbucket
25,2026,2026_952,,Bitbucket
26,2026,2026_956,,Bitbucket
27,2026,2026_1018,"MS Teams, Sharepoint",Bitbucket
28,2026,2026_1038,,Bitbucket
29,2026,2026_1115,,Bitbucket
30,2026,2026_1131,,Bitbucket
31,2026,2026_3,,Confluence
32,2026,2026_24,,Confluence
33,2026,2026_40,,Confluence
34,2026,2026_45,,Confluence
35,2026,2026_81,,Confluence
36,2026,2026_82,,Confluence
37,2026,2026_124,,Confluence
38,2026,2026_140,"Miro, Forgejo, Element/Matrix",Confluence
39,2026,2026_192,Gitea,Confluence
40,2026,2026_205,Forgejo,Confluence
41,2026,2026_218,,Confluence
42,2026,2026_235,,Confluence
43,2026,2026_238,,Confluence
44,2026,2026_240,,Confluence
45,2026,2026_244,,Confluence
46,2026,2026_259,,Confluence
47,2026,2026_295,,Confluence
48,2026,2026_304,,Confluence
49,2026,2026_307,,Confluence
50,2026,2026_354,Miro,Confluence
51,2026,2026_364,,Confluence
52,2026,2026_366,,Confluence
53,2026,2026_367,,Confluence
54,2026,2026_369,,Confluence
