,Year_0,row_id,turnOver3zaf
0,2026,2026_47,Time for coding
1,2026,2026_322,Time for coding
2,2026,2026_572,Time for coding
3,2026,2026_573,Time for coding
4,2026,2026_581,Time for coding
5,2026,2026_598,Time for coding
6,2026,2026_631,Time for coding
7,2026,2026_643,Time for coding
8,2026,2026_644,Time for coding
9,2026,2026_657,Time for coding
10,2026,2026_748,Time for coding
11,2026,2026_749,Time for coding
12,2026,2026_756,Time for coding
13,2026,2026_775,Time for coding
14,2026,2026_788,Time for coding
15,2026,2026_826,Time for coding
16,2026,2026_867,Time for coding
17,2026,2026_895,Time for coding
18,2026,2026_900,Time for coding
19,2026,2026_986,Time for coding
20,2026,2026_987,Time for coding
21,2026,2026_991,Time for coding
22,2026,2026_992,Time for coding
23,2026,2026_995,Time for coding
24,2026,2026_1000,Time for coding
25,2026,2026_1001,Time for coding
26,2026,2026_1032,Time for coding
27,2026,2026_1161,Time for coding
28,2026,2026_47,Time to attend training
29,2026,2026_366,Time to attend training
30,2026,2026_572,Time to attend training
31,2026,2026_622,Time to attend training
32,2026,2026_631,Time to attend training
33,2026,2026_644,Time to attend training
34,2026,2026_657,Time to attend training
35,2026,2026_751,Time to attend training
36,2026,2026_788,Time to attend training
37,2026,2026_846,Time to attend training
38,2026,2026_982,Time to attend training
39,2026,2026_987,Time to attend training
40,2026,2026_992,Time to attend training
41,2026,2026_1032,Time to attend training
42,2026,2026_1161,Time to attend training
43,2026,2026_322,Access to training
44,2026,2026_366,Access to training
45,2026,2026_572,Access to training
46,2026,2026_573,Access to training
47,2026,2026_598,Access to training
48,2026,2026_622,Access to training
49,2026,2026_631,Access to training
50,2026,2026_788,Access to training
51,2026,2026_900,Access to training
52,2026,2026_978,Access to training
53,2026,2026_982,Access to training
54,2026,2026_1032,Access to training
55,2026,2026_1161,Access to training
56,2026,2026_573,Access to peers for knowledge exchange
57,2026,2026_581,Access to peers for knowledge exchange
58,2026,2026_591,Access to peers for knowledge exchange
59,2026,2026_622,Access to peers for knowledge exchange
60,2026,2026_631,Access to peers for knowledge exchange
61,2026,2026_643,Access to peers for knowledge exchange
62,2026,2026_657,Access to peers for knowledge exchange
63,2026,2026_815,Access to peers for knowledge exchange
64,2026,2026_826,Access to peers for knowledge exchange
65,2026,2026_829,Access to peers for knowledge exchange
66,2026,2026_846,Access to peers for knowledge exchange
67,2026,2026_900,Access to peers for knowledge exchange
68,2026,2026_978,Access to peers for knowledge exchange
69,2026,2026_986,Access to peers for knowledge exchange
70,2026,2026_987,Access to peers for knowledge exchange
71,2026,2026_995,Access to peers for knowledge exchange
72,2026,2026_1161,Access to peers for knowledge exchange
73,2026,2026_322,Job security
74,2026,2026_562,Job security
75,2026,2026_598,Job security
76,2026,2026_622,Job security
77,2026,2026_644,Job security
78,2026,2026_657,Job security
79,2026,2026_775,Job security
80,2026,2026_815,Job security
81,2026,2026_991,Job security
82,2026,2026_1000,Job security
83,2026,2026_1032,Job security
84,2026,2026_1161,Job security
85,2026,2026_558,Career progression
86,2026,2026_562,Career progression
87,2026,2026_570,Career progression
88,2026,2026_573,Career progression
89,2026,2026_581,Career progression
90,2026,2026_591,Career progression
91,2026,2026_622,Career progression
92,2026,2026_643,Career progression
93,2026,2026_657,Career progression
94,2026,2026_748,Career progression
95,2026,2026_775,Career progression
96,2026,2026_788,Career progression
97,2026,2026_829,Career progression
98,2026,2026_867,Career progression
99,2026,2026_900,Career progression
100,2026,2026_982,Career progression
101,2026,2026_986,Career progression
102,2026,2026_1000,Career progression
103,2026,2026_1032,Career progression
104,2026,2026_1161,Career progression
105,2026,2026_570,Too many varied requests
106,2026,2026_573,Too many varied requests
107,2026,2026_591,Too many varied requests
108,2026,2026_643,Too many varied requests
109,2026,2026_644,Too many varied requests
110,2026,2026_749,Too many varied requests
111,2026,2026_756,Too many varied requests
112,2026,2026_826,Too many varied requests
113,2026,2026_900,Too many varied requests
114,2026,2026_978,Too many varied requests
115,2026,2026_982,Too many varied requests
116,2026,2026_986,Too many varied requests
117,2026,2026_987,Too many varied requests
118,2026,2026_1001,Too many varied requests
119,2026,2026_322,Lack of credit
120,2026,2026_366,Lack of credit
121,2026,2026_558,Lack of credit
122,2026,2026_584,Lack of credit
123,2026,2026_591,Lack of credit
124,2026,2026_657,Lack of credit
125,2026,2026_748,Lack of credit
126,2026,2026_749,Lack of credit
127,2026,2026_788,Lack of credit
128,2026,2026_829,Lack of credit
129,2026,2026_846,Lack of credit
130,2026,2026_867,Lack of credit
131,2026,2026_978,Lack of credit
132,2026,2026_982,Lack of credit
133,2026,2026_986,Lack of credit
134,2026,2026_1161,Lack of credit
135,2026,2026_558,Code maintainability
136,2026,2026_562,Code maintainability
137,2026,2026_570,Code maintainability
138,2026,2026_572,Code maintainability
139,2026,2026_584,Code maintainability
140,2026,2026_589,Code maintainability
141,2026,2026_591,Code maintainability
142,2026,2026_643,Code maintainability
143,2026,2026_741,Code maintainability
144,2026,2026_751,Code maintainability
145,2026,2026_826,Code maintainability
146,2026,2026_829,Code maintainability
147,2026,2026_831,Code maintainability
148,2026,2026_846,Code maintainability
149,2026,2026_900,Code maintainability
150,2026,2026_978,Code maintainability
151,2026,2026_1001,Code maintainability
152,2026,2026_1161,Code maintainability
