,Year_0,row_id,train5[other]_0,train5
162,2026,2026_396,,Lecturing or content delivery
163,2026,2026_405,,Lecturing or content delivery
164,2026,2026_407,,Lecturing or content delivery
165,2026,2026_408,,Lecturing or content delivery
166,2026,2026_414,,Lecturing or content delivery
167,2026,2026_415,,Lecturing or content delivery
168,2026,2026_422,,Lecturing or content delivery
169,2026,2026_443,,Lecturing or content delivery
170,2026,2026_459,,Lecturing or content delivery
171,2026,2026_460,,Lecturing or content delivery
172,2026,2026_474,,Lecturing or content delivery
173,2026,2026_479,,Lecturing or content delivery
174,2026,2026_482,,Lecturing or content delivery
175,2026,2026_483,,Lecturing or content delivery
176,2026,2026_487,,Lecturing or content delivery
177,2026,2026_501,,Lecturing or content delivery
178,2026,2026_504,,Lecturing or content delivery
179,2026,2026_510,,Lecturing or content delivery
180,2026,2026_515,,Lecturing or content delivery
181,2026,2026_517,,Lecturing or content delivery
182,2026,2026_534,,Lecturing or content delivery
183,2026,2026_537,,Lecturing or content delivery
184,2026,2026_542,,Lecturing or content delivery
185,2026,2026_544,,Lecturing or content delivery
186,2026,2026_547,,Lecturing or content delivery
187,2026,2026_570,,Lecturing or content delivery
188,2026,2026_581,,Lecturing or content delivery
189,2026,2026_589,,Lecturing or content delivery
190,2026,2026_604,,Lecturing or content delivery
191,2026,2026_644,,Lecturing or content delivery
192,2026,2026_672,,Lecturing or content delivery
193,2026,2026_700,,Lecturing or content delivery
194,2026,2026_701,Guest lecturer,Lecturing or content delivery
195,2026,2026_727,,Lecturing or content delivery
196,2026,2026_741,,Lecturing or content delivery
197,2026,2026_744,,Lecturing or content delivery
198,2026,2026_756,,Lecturing or content delivery
199,2026,2026_768,,Lecturing or content delivery
200,2026,2026_769,,Lecturing or content delivery
201,2026,2026_776,,Lecturing or content delivery
202,2026,2026_781,,Lecturing or content delivery
203,2026,2026_785,,Lecturing or content delivery
204,2026,2026_797,,Lecturing or content delivery
205,2026,2026_806,,Lecturing or content delivery
206,2026,2026_821,,Lecturing or content delivery
207,2026,2026_823,,Lecturing or content delivery
208,2026,2026_831,,Lecturing or content delivery
209,2026,2026_834,,Lecturing or content delivery
210,2026,2026_836,,Lecturing or content delivery
211,2026,2026_840,,Lecturing or content delivery
212,2026,2026_845,,Lecturing or content delivery
213,2026,2026_846,,Lecturing or content delivery
214,2026,2026_857,,Lecturing or content delivery
215,2026,2026_859,,Lecturing or content delivery
216,2026,2026_867,,Lecturing or content delivery
217,2026,2026_868,,Lecturing or content delivery
218,2026,2026_885,,Lecturing or content delivery
219,2026,2026_886,,Lecturing or content delivery
220,2026,2026_891,,Lecturing or content delivery
221,2026,2026_895,,Lecturing or content delivery
222,2026,2026_897,,Lecturing or content delivery
223,2026,2026_900,,Lecturing or content delivery
224,2026,2026_902,,Lecturing or content delivery
225,2026,2026_903,,Lecturing or content delivery
226,2026,2026_907,,Lecturing or content delivery
227,2026,2026_909,,Lecturing or content delivery
228,2026,2026_910,,Lecturing or content delivery
229,2026,2026_923,,Lecturing or content delivery
230,2026,2026_925,,Lecturing or content delivery
231,2026,2026_926,,Lecturing or content delivery
232,2026,2026_927,,Lecturing or content delivery
