,Year_0,row_id,open3de_0
0,2018,2018_0,zenodo
1,2018,2018_1,zenodo
3,2018,2018_3,ascl.net
4,2018,2018_3,joss
5,2018,2018_3,zenodo
6,2018,2018_4,zenodo
9,2018,2018_7,local library
10,2018,2018_8,zenodo
16,2018,2018_14,zenodo
17,2018,2018_15,local library
18,2018,2018_16,zenodo
20,2018,2018_18,zenodo
26,2018,2018_23,data.csiro.au)
27,2018,2018_24,zenodo
28,2018,2018_25,zenodo
29,2018,2018_26,zenodo
31,2018,2018_28,zenodo
32,2018,2018_29,zenodo
33,2018,2018_30,zenodo
38,2018,2018_35,zenodo
45,2018,2018_42,zenodo
46,2018,2018_43,local library
50,2018,2018_47,local library
55,2018,2018_52,zenodo
56,2018,2018_53,zenodo
58,2018,2018_55,osf.io
61,2018,2018_58,zenodo
62,2018,2018_59,zenodo
64,2018,2018_61,zenodo
66,2018,2018_63,zenodo
77,2018,2018_73,csiro data access portal
78,2018,2018_73,zenodo
81,2018,2018_76,csiro data access portal
82,2018,2018_77,publish a paper to get a doi
88,2018,2018_83,zenodo
89,2018,2018_84,zenodo
90,2018,2018_85,zenodo
92,2018,2018_87,zenodo
97,2018,2018_92,zenodo
98,2018,2018_93,zenodo
99,2018,2018_94,figshare
102,2018,2018_97,zenodo
103,2018,2018_97,open science framework
104,2018,2018_98,zenodo
105,2018,2018_99,zenodo
106,2018,2018_100,zenodo
107,2018,2018_101,zenodo
108,2018,2018_102,zenodo
109,2018,2018_102,osf
112,2018,2018_105,local library
118,2018,2018_111,figshare
119,2018,2018_112,doi.org via figshare
121,2018,2018_114,zenodo
122,2018,2018_114,publications
123,2018,2018_115,ascl.net
131,2018,2018_121,zenodo
135,2018,2018_125,zenodo
138,2018,2018_127,zenodo
140,2018,2018_129,zenodo
142,2018,2018_131,zenodo
146,2018,2018_135,zenodo
148,2018,2018_137,zenodo
157,2018,2018_146,zenodo
158,2018,2018_147,zenodo
162,2018,2018_151,zenodo
163,2018,2018_152,zenodo
172,2018,2018_161,zenodo
176,2018,2018_165,zenodo
184,2018,2018_173,zenodo
196,2018,2018_185,zenodo
199,2018,2018_188,zenodo
207,2018,2018_196,zenodo
212,2018,2018_201,zenodo
214,2018,2018_203,zenodo
215,2018,2018_203,planned
224,2018,2018_211,zenodo
225,2018,2018_211,possibly.
226,2018,2018_212,zenodo
229,2018,2018_215,zenodo
231,2018,2018_217,zenodo
232,2018,2018_218,local library
236,2018,2018_222,zenodo
237,2018,2018_223,local
238,2018,2018_224,zenodo
240,2018,2018_226,zenodo
241,2018,2018_226,edinburgh datashare
245,2018,2018_230,zenodo
246,2018,2018_231,kiko; knowledge in knowledge out
249,2018,2018_234,zenodo
257,2018,2018_242,astrophysics source code library
259,2018,2018_244,zenodo
261,2018,2018_246,zenodo
263,2018,2018_248,zenodo
265,2018,2018_250,zenodo
273,2018,2018_258,zenodo
274,2018,2018_259,zenodo
275,2018,2018_259,orda
276,2018,2018_260,zenodo
284,2018,2018_268,zenodo
287,2018,2018_271,zenodo
291,2018,2018_275,zenodo
304,2018,2018_288,zenodo
309,2018,2018_293,zenodo
315,2018,2018_299,zenodo
321,2018,2018_305,zenodo
322,2018,2018_306,zenodo
323,2018,2018_307,zenodo
324,2018,2018_308,zenodo
328,2018,2018_312,zenodo
336,2018,2018_320,zenodo
339,2018,2018_323,zenodo
340,2018,2018_324,zenodo
342,2018,2018_326,zenodo
344,2018,2018_327,no need
352,2018,2018_335,zenodo
353,2018,2018_336,zenodo
358,2018,2018_341,zenodo
359,2018,2018_342,zenodo
360,2018,2018_343,zenodo
361,2018,2018_344,zenodo
362,2018,2018_345,zenodo
366,2018,2018_349,zenodo
369,2018,2018_352,zenodo
370,2018,2018_352,local library
375,2018,2018_357,local library
377,2018,2018_359,local library
379,2018,2018_361,zenodo
384,2018,2018_366,zenodo
387,2018,2018_369,researchgate
392,2018,2018_374,zenodo
393,2018,2018_374,ascl
397,2018,2018_378,zenodo
403,2018,2018_384,zenodo
406,2018,2018_386,zenodo
411,2018,2018_391,zeno do
412,2018,2018_391,gfz dataservices
413,2018,2018_392,zenodo
420,2018,2018_399,local library
422,2018,2018_401,local library
423,2018,2018_401,dkrz
424,2018,2018_401,dwd library
428,2018,2018_405,zenodo
432,2018,2018_409,software as supplementary info for a paper
434,2018,2018_411,bibliothek
435,2018,2018_412,zenodo
436,2018,2018_412,figshare
437,2018,2018_412,tibav
438,2018,2018_413,zenodo
439,2018,2018_414,zenodo
440,2018,2018_414,scipost
454,2018,2018_428,zenodo
459,2018,2018_433,zenodo
460,2018,2018_434,pangaea
461,2018,2018_434,local library
468,2018,2018_441,zentralbibliothek
479,2018,2018_452,zenodo
