,Year_0,row_id,currentEmp13aus
135,2018,2018_112,06 Biological Sciences
136,2018,2018_113,06 Biological Sciences
137,2018,2018_121,06 Biological Sciences
138,2018,2018_122,06 Biological Sciences
139,2018,2018_219,06 Biological Sciences
140,2018,2018_318,06 Biological Sciences
141,2018,2018_876,06 Biological Sciences
142,2018,2018_972,06 Biological Sciences
143,2018,2018_973,06 Biological Sciences
144,2018,2018_974,06 Biological Sciences
145,2018,2018_978,06 Biological Sciences
146,2018,2018_979,06 Biological Sciences
147,2018,2018_17,07 Agricultural and Veterinary Sciences
148,2018,2018_34,07 Agricultural and Veterinary Sciences
149,2018,2018_54,07 Agricultural and Veterinary Sciences
150,2018,2018_78,07 Agricultural and Veterinary Sciences
151,2018,2018_87,07 Agricultural and Veterinary Sciences
152,2018,2018_113,07 Agricultural and Veterinary Sciences
153,2018,2018_972,07 Agricultural and Veterinary Sciences
154,2018,2018_973,07 Agricultural and Veterinary Sciences
155,2018,2018_974,07 Agricultural and Veterinary Sciences
156,2018,2018_979,07 Agricultural and Veterinary Sciences
157,2018,2018_4,08 Information and Computing Sciences
158,2018,2018_7,08 Information and Computing Sciences
159,2018,2018_17,08 Information and Computing Sciences
160,2018,2018_18,08 Information and Computing Sciences
161,2018,2018_19,08 Information and Computing Sciences
162,2018,2018_21,08 Information and Computing Sciences
163,2018,2018_23,08 Information and Computing Sciences
164,2018,2018_25,08 Information and Computing Sciences
165,2018,2018_31,08 Information and Computing Sciences
166,2018,2018_32,08 Information and Computing Sciences
167,2018,2018_34,08 Information and Computing Sciences
168,2018,2018_41,08 Information and Computing Sciences
169,2018,2018_47,08 Information and Computing Sciences
170,2018,2018_54,08 Information and Computing Sciences
171,2018,2018_59,08 Information and Computing Sciences
172,2018,2018_68,08 Information and Computing Sciences
173,2018,2018_72,08 Information and Computing Sciences
174,2018,2018_73,08 Information and Computing Sciences
175,2018,2018_74,08 Information and Computing Sciences
176,2018,2018_75,08 Information and Computing Sciences
177,2018,2018_76,08 Information and Computing Sciences
178,2018,2018_78,08 Information and Computing Sciences
179,2018,2018_79,08 Information and Computing Sciences
180,2018,2018_80,08 Information and Computing Sciences
181,2018,2018_103,08 Information and Computing Sciences
182,2018,2018_104,08 Information and Computing Sciences
183,2018,2018_106,08 Information and Computing Sciences
184,2018,2018_107,08 Information and Computing Sciences
185,2018,2018_108,08 Information and Computing Sciences
186,2018,2018_109,08 Information and Computing Sciences
187,2018,2018_111,08 Information and Computing Sciences
188,2018,2018_121,08 Information and Computing Sciences
189,2018,2018_122,08 Information and Computing Sciences
190,2018,2018_300,08 Information and Computing Sciences
191,2018,2018_318,08 Information and Computing Sciences
192,2018,2018_897,08 Information and Computing Sciences
193,2018,2018_912,08 Information and Computing Sciences
194,2018,2018_913,08 Information and Computing Sciences
195,2018,2018_967,08 Information and Computing Sciences
196,2018,2018_970,08 Information and Computing Sciences
197,2018,2018_972,08 Information and Computing Sciences
198,2018,2018_973,08 Information and Computing Sciences
199,2018,2018_978,08 Information and Computing Sciences
200,2018,2018_979,08 Information and Computing Sciences
201,2018,2018_981,08 Information and Computing Sciences
202,2018,2018_7,09 Engineering
203,2018,2018_8,09 Engineering
204,2018,2018_12,09 Engineering
205,2018,2018_21,09 Engineering
206,2018,2018_40,09 Engineering
207,2018,2018_47,09 Engineering
208,2018,2018_56,09 Engineering
209,2018,2018_68,09 Engineering
210,2018,2018_73,09 Engineering
211,2018,2018_75,09 Engineering
212,2018,2018_78,09 Engineering
213,2018,2018_79,09 Engineering
214,2018,2018_81,09 Engineering
215,2018,2018_105,09 Engineering
216,2018,2018_106,09 Engineering
217,2018,2018_318,09 Engineering
218,2018,2018_783,09 Engineering
219,2018,2018_970,09 Engineering
220,2018,2018_972,09 Engineering
221,2018,2018_977,09 Engineering
222,2018,2018_979,09 Engineering
223,2018,2018_982,09 Engineering
224,2018,2018_985,09 Engineering
225,2018,2018_3,10 Technology
226,2018,2018_7,10 Technology
227,2018,2018_16,10 Technology
228,2018,2018_21,10 Technology
229,2018,2018_31,10 Technology
230,2018,2018_40,10 Technology
231,2018,2018_45,10 Technology
232,2018,2018_47,10 Technology
233,2018,2018_56,10 Technology
234,2018,2018_68,10 Technology
235,2018,2018_73,10 Technology
236,2018,2018_75,10 Technology
237,2018,2018_78,10 Technology
238,2018,2018_79,10 Technology
239,2018,2018_106,10 Technology
240,2018,2018_107,10 Technology
241,2018,2018_121,10 Technology
242,2018,2018_122,10 Technology
243,2018,2018_318,10 Technology
244,2018,2018_967,10 Technology
245,2018,2018_970,10 Technology
246,2018,2018_972,10 Technology
247,2018,2018_977,10 Technology
248,2018,2018_979,10 Technology
249,2018,2018_981,10 Technology
