,Year_0,row_id,train3_0
0,2018,2018_0,carpentries
1,2018,2018_0,local university
2,2018,2018_0,conference tutorials
5,2018,2018_3,casper workshop
6,2018,2018_3,local training
8,2018,2018_5,bctu research methods course.
12,2018,2018_7,postgrads
13,2018,2018_7,and recently a guest lecture.
14,2018,2018_8,carpentries
15,2018,2018_8,local
16,2018,2018_8,scipy tutorials
17,2018,2018_8,aspp
19,2018,2018_10,intel performance tuning workshop
21,2018,2018_12,optimisation problem modelling in power systems
22,2018,2018_12,optmisation modelling for engineers
23,2018,2018_12,software for optimisation modelling
25,2018,2018_14,local university
27,2018,2018_15,postgraduate teaching
30,2018,2018_17,carpentries
31,2018,2018_18,weekly university thing
33,2018,2018_20,carpentries
34,2018,2018_20,local university
37,2018,2018_23,carpentries
39,2018,2018_23,industry training as consultant
41,2018,2018_25,carpentries
43,2018,2018_26,carpentries
44,2018,2018_26,carpentries
45,2018,2018_26,studygroup@uio
46,2018,2018_26,geohive@uio
47,2018,2018_26,coderefinery
48,2018,2018_26,rladies
51,2018,2018_29,carpentries
52,2018,2018_29,local coding club
53,2018,2018_29,university doctoral schools course
54,2018,2018_30,local university
57,2018,2018_32,local university
60,2018,2018_35,carpentries
63,2018,2018_38,carpentries
64,2018,2018_38,local university
69,2018,2018_43,overseas capacity building
76,2018,2018_50,carpentries
78,2018,2018_52,carpentries
79,2018,2018_52,research bazaar
82,2018,2018_53,carpentries
83,2018,2018_53,annual bioinformatics course
84,2018,2018_54,carpentries
85,2018,2018_55,carpentries
87,2018,2018_57,hpc
89,2018,2018_58,local to experiment
90,2018,2018_58,local to institution.
91,2018,2018_59,informal
93,2018,2018_60,local training
94,2018,2018_60,gbif related (often biodiversity mobilization) workshop around the world
95,2018,2018_61,djangogirls
96,2018,2018_62,carpentries
97,2018,2018_62,short courses
98,2018,2018_63,carpentries
101,2018,2018_66,carpentries
102,2018,2018_66,local university
103,2018,2018_67,python
104,2018,2018_67,data literacy
107,2018,2018_70,resbaz
108,2018,2018_70,carpentries
110,2018,2018_72,local training
114,2018,2018_76,hpc
115,2018,2018_76,carpentries
116,2018,2018_77,carpentries
117,2018,2018_77,local institute training
119,2018,2018_79,carpentries
120,2018,2018_79,local university
121,2018,2018_79,resbaz
130,2018,2018_87,local university
131,2018,2018_87,conference tutorials
137,2018,2018_93,carpentries
141,2018,2018_96,local university
142,2018,2018_97,local university
143,2018,2018_98,local
144,2018,2018_99,scm commercial training
145,2018,2018_100,intern
146,2018,2018_101,galaxy training network
147,2018,2018_101,local institute training
148,2018,2018_102,local university
149,2018,2018_102,undergraduate teaching
151,2018,2018_104,courses by our institution
152,2018,2018_105,bepoke user workshops upon request
156,2018,2018_109,training in particular software utilised at the university
158,2018,2018_111,software
159,2018,2018_111,carpentries
160,2018,2018_112,local institution training
162,2018,2018_114,carpentries
163,2018,2018_115,local institution trainings
167,2018,2018_119,open science for synthesis
168,2018,2018_119,arctic data center
169,2018,2018_119,dataone
170,2018,2018_119,and nceas training programs
172,2018,2018_121,carpentries
173,2018,2018_121,r)
174,2018,2018_121,carpentries
175,2018,2018_122,carpentries
176,2018,2018_122,research bazaar
178,2018,2018_124,local training
179,2018,2018_125,carpentries
181,2018,2018_127,rdm workshop
182,2018,2018_128,carpentries
184,2018,2018_129,summer school
185,2018,2018_129,interest group
186,2018,2018_130,local training
187,2018,2018_131,local university
188,2018,2018_131,conference tutorials
190,2018,2018_133,custom
191,2018,2018_134,local university
192,2018,2018_135,local university
193,2018,2018_135,teaching on msc
194,2018,2018_135,wellcome genome campus advanced courses
195,2018,2018_136,python
196,2018,2018_137,carpentries
197,2018,2018_137,galaxy training network
198,2018,2018_138,conference tutorials
204,2018,2018_144,local project training
205,2018,2018_144,workshops (both local
206,2018,2018_144,conference tutorials
207,2018,2018_145,local training
208,2018,2018_146,project specific training.
209,2018,2018_147,online
212,2018,2018_150,in house maintained training for: beginners' programming
213,2018,2018_150,intermediate programming
214,2018,2018_150,java/processing
215,2018,2018_150,online
219,2018,2018_154,centres for doctoral training courses
223,2018,2018_158,fortran modernisation workshop
225,2018,2018_160,cuda training
227,2018,2018_162,user training
228,2018,2018_163,computing club in research group
229,2018,2018_164,local training
230,2018,2018_164,formal postgraduate teaching
232,2018,2018_166,carpentries
233,2018,2018_166,coaching academics
236,2018,2018_169,teaching master course
237,2018,2018_169,phd/master supervision
238,2018,2018_169,local university
240,2018,2018_171,local training
