,startdate_0,socio1_0,rse1_0,edu1_0,edu2_0,edu4_0,rse4de_0,rse3_0,soft2can_0,soft1can_0,time1can_0,time2can_0,time3can_0,time4can_0,time5can_0,timeLike6zaf_0,timeLike7zaf_0,timeLike8zaf_0,timeLike9zaf_0,timeLike10zaf_0,currentEmp1_0,currentEmp12_0,currentEmp10_0,currentEmp11_0,currentEmp13_0,currentEmp13_1,currentEmp13_2,currentEmp13_3,currentEmp13_4,currentEmp13_5,currentEmp13_6,currentEmp13_7,currentEmp13_8,currentEmp13_9,currentEmp13_10,currentEmp13_11,currentEmp13_12,currentEmp13_13,currentEmp13_14,currentEmp13_15,currentEmp13_16,currentEmp13_17,currentEmp13_18,currentEmp13_19,currentEmp13_20,currentEmp13_21,currentEmp13_22,currentEmp13_23,currentEmp13_24,currentEmp13_25,currentEmp13_26,currentEmp13_27,currentEmp13_28,currentEmp13_29,currentEmp13_30,currentEmp13_31,currentEmp13_32,currentEmp13_33,currentEmp13_34,currentEmp13_35,currentEmp13_36,currentEmp13_37,currentEmp13_38,currentEmp13_39,currentEmp13_40,currentEmp13_41,currentEmp13_42,currentEmp13_43,currentEmp13_44,currentEmp13_45,currentEmp13_46,currentEmp13_47,currentEmp13_48,currentEmp13_49,currentEmp13_50,currentEmp13_51,currentEmp13_52,currentEmp13_53,currentEmp13_54,currentEmp13_55,currentEmp13_56,currentEmp13_57,currentEmp13_58,currentEmp13_59,currentEmp13_60,currentEmp13_61,currentEmp13_62,currentEmp13_63,currentEmp13_64,currentEmp13can_0,currentEmp13can_1,currentEmp13can_2,currentEmp13can_3,currentEmp13can_4,currentEmp13can_5,currentEmp13can_6,currentEmp13can_7,currentEmp13can_8,currentEmp13can_9,currentEmp13can_10,currentEmp13can_11,currentEmp13can_12,currentEmp13can_13,currentEmp13can_14,currentEmp13can_15,currentEmp13can_16,currentEmp13can_17,currentEmp13can_18,currentEmp13can_19,currentEmp13can_20,currentEmp13can_21,currentEmp13can_22,currentEmp13can_23,currentEmp13can_24,currentEmp13can_25,currentEmp13can_26,currentEmp13can_27,currentEmp13can_28,currentEmp13can_29,currentEmp13can_30,currentEmp13can_31,currentEmp13can_32,currentEmp13can_33,currentEmp13can_34,currentEmp13can_35,currentEmp13can_36,currentEmp13can_37,currentEmp13can_38,currentEmp13can_39,currentEmp13can_40,currentEmp13can_41,currentEmp13can_42,currentEmp13can_43,currentEmp13can_44,currentEmp13can_45,currentEmp13can_46,currentEmp13can_47,currentEmp13can_48,currentEmp13can_49,currentEmp13can_50,currentEmp13can_51,currentEmp13can_52,currentEmp13can_53,currentEmp13can_54,currentEmp13aus_0,currentEmp13aus_1,currentEmp13aus_2,currentEmp13aus_3,currentEmp13aus_4,currentEmp13aus_5,currentEmp13aus_6,currentEmp13aus_7,currentEmp13aus_8,currentEmp13aus_9,currentEmp13aus_10,currentEmp13aus_11,currentEmp13aus_12,currentEmp13aus_13,currentEmp13aus_14,currentEmp13aus_15,currentEmp13aus_16,currentEmp13aus_17,currentEmp13aus_18,currentEmp13aus_19,currentEmp13aus_20,currentEmp13aus_21,prevEmp1_0,prevEmp2_0,prevEmp2_1,prevEmp2_2,prevEmp2_3,prevEmp2_4,currentWork1_0,currentWork2_0,paper2mod_0,conf1can_0,conf2can_0,proj1can_0,proj2can_0,proj7can_0,proj8can_0,stability1_0,stability2_0,proj4can_0,proj4can_1,proj4can_2,proj4can_3,proj5can_0,open1can_0,open2de_0,open3can_0,open3de_0,open1de_0,proj5zaf_0,proj5zaf_1,proj5zaf_2,proj5zaf_3,proj5zaf_4,proj6zaf_0,train2_0,train3_0,fund2_0,fund2_1,fund2_2,fund2_3,fund2_4,fund2_5,fund2_6,fund2_7,fund2_8,fund2_9,fund2_10,fund2_11,fund2_12,fund2_13,fund2_14,fund2_15,fund2_16,fund1can_0,satisGen1_0,satisGen2_0,recog1_0,recog2_0,recog3_0,turnOver3_0,turnOver6_0,percEmp1_0,percEmp3_0,progRSE1_0,progRSE2_0,progRSE3_0,progRSE5_0,ukrse1_0,org1can_0,org2can_0,org2can_1,org2can_2,org2can_3,org2can_4,tool2_0,tool4can_0,tool4can_1,tool4can_2,tool4can_3,tool4can_4,tool4can_5,tool4can_6,tool4can_7,tool4can_8,tool4can_9,tool4can_10,tool4can_11,tool4can_12,tool4can_13,tool4can_14,tool4can_15,tool4can_16,tool4can_17,tool4can_18,tool4can_19,tool4can_20,tool4can_21,tool4can_22,tool4can_23,tool4can_24,tool4can_25,tool4can_26,tool4can_27,tool4can_28,tool4can_29,tool4can_30,tool4can_31,tool4can_32,tool4can_33,tool4can_34,tool4can_35,tool5can_0,tool5can_1,tool5can_2,tool5can_3,tool5can_4,tool5can_5,tool5can_6,ukrse3_0,ukrse12de_0,skill2_0,Year_0,row_id
110,11/09/2018 06:37,Australia,True,AQF 8 - Undergraduate degree,02 Physical Sciences,Fellow of ACS,False,3,True,37.0,7,8,2,3,2,7,7,2,3,2,University,Full Time,Fixed term -- funded by Institution core funding,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Private company,Desire to work in a research environment,Desire to advance research,Freedom to choose own working practices,Flexible working hours,Opportunity for career advancement,Regularly change researcher(s),False,Named as co-author,True,,5.0,3.0,,,1.0,False,False,False,True,False,,10 (All the time),10 (All the time),10 (All the time),,True,False,False,True,False,False,"SharedLatex, teamViewer",5.0,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,10 - Completely satisfied,10 - Completely satisfied,Strongly Agree,Strongly Agree,Strongly Agree,1 (None at all),Strongly disagree,Strongly Agree,Strongly Agree,Disagree,,Strongly Agree,Agree,False,False,,,,,,GNU/Linux,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,,,,True,,2018,2018_110
111,11/09/2018 08:09,Australia,True,AQF 10 - Doctoral Degree,06 Biological Sciences,,False,2,False,5.0,4,8,2,2,2,3,5,3,8,2,Non-profit organization,Full Time,Fixed term -- funded by project funds,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,University,I want to learn new skills,Opportunity for career advancement,Ability to work across disciplines,The salary,Desire to work in a research environment,Same researcher(s),False,Named as co-author,False,,2.0,1.0,,,1.0,False,True,False,True,False,,10 (All the time),10 (All the time),10 (All the time),figshare,True,False,False,True,False,False,github,4.0,Software and Data Carpentry (OUTSIDE/in conflict with my job),True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0 - Not at all satisfied,2,Strongly disagree,Strongly disagree,Strongly disagree,9,Neither agree or disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,False,True,True,False,True,False,True,GNU/Linux,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,,,,,,,,Self taught,True,"proper software engineering (as opposed to hacking), collaborative working ethics, career strategic planning",2018,2018_111
112,11/09/2018 08:26,Australia,True,AQF 8 - Undergraduate degree,02 Physical Sciences,,False,3,True,18.0,4,1 (None at all),2,2,5,7,1 (None at all),1 (None at all),3,4,Non-profit organization,Full Time,Permanent -- funded by Institution core funding,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Private company,I want to learn new skills,Desire to work in a research environment,Opportunity to develop software,Freedom to choose own working practices,Ability to work across disciplines,Regularly change researcher(s),False,Not mentioned at all,True,REDCapCon https://projectredcap.org/about/redcapcon/,3.0,1.0,,,1.0,False,False,True,True,False,,10 (All the time),1 (None at all),2,doi.org via figshare,True,False,False,True,True,False,github,10.0,Local institution training,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,8,7,Strongly Agree,Disagree,Disagree,2,Disagree,Neither agree or disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,False,,,,,,,Windows,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,On the job,False,,2018,2018_112
113,11/09/2018 09:40,Australia,False,AQF 7 - Undergraduate degree,05 Environmental Sciences,,True,5 - Mostly other people,False,25.0,1 (None at all),3,4,1 (None at all),3,1 (None at all),3,4,1 (None at all),3,University,Full Time,Permanent -- funded by Institution core funding,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,University,Desire to advance research,Desire to work in a research environment,The salary,Freedom to choose own working practices,Flexible working hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2018_113
114,11/09/2018 10:24,United Kingdom,True,Masters Degree,Physics and Astronomy,,False,0 - Mostly me,True,7.0,7,3,1 (None at all),1 (None at all),2,9,1 (None at all),1 (None at all),1 (None at all),2,University,Full Time,Research/Student Assistant,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,Desire to work in a research environment,Desire to advance research,Opportunity for career advancement,I want to learn new skills,Opportunity to develop software,Regularly change researcher(s),False,Named as co-author,True,,4.0,3.0,,,2.0,False,False,False,True,False,,10 (All the time),10 (All the time),10 (All the time),"Zenodo, publications",True,False,False,True,True,False,"GitHub, BitBucket",2.0,Software Carpentry,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,3,3,Strongly Agree,Neither agree or disagree,Disagree,10 (All the time),Strongly Agree,Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Agree,True,,,,,,,GNU/Linux,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,"StackOverflow, books; little formal training.",True,"Software Design, Algorithms, Management Skills",2018,2018_114
115,11/09/2018 11:26,Australia,True,AQF 9 - Masters Degree,,,False,5 - Mostly other people,True,10.0,8,2,1 (None at all),1 (None at all),3,9,2,1 (None at all),2,3,University,Full Time,Fixed term -- funded by Institution core funding,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Opportunity to develop software,Flexible working hours,Opportunity for career advancement,Desire to work in a research environment,The salary,Same researcher(s),True,Named as co-author,False,,5.0,1.0,,,1.0,False,False,False,True,False,,10 (All the time),10 (All the time),10 (All the time),"ascl.net (not a DOI, but an ID that is generally recognised as valid)",True,False,False,True,False,False,"github, bitbucket",2.0,local institution trainings,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,8,10 - Completely satisfied,Strongly Agree,Strongly Agree,Strongly Agree,8,Strongly disagree,Agree,Strongly Agree,Neither agree or disagree,Agree,Neither agree or disagree,,False,True,True,False,False,True,True,GNU/Linux,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,,,,,,,,Practical experience,True,"better understanding of researcher needs, better understanding of industry relationships",2018,2018_115
116,11/09/2018 12:42,Denmark,True,PhD,Biological Sciences,,False,3,False,24.0,4,3,4,1 (None at all),2,1 (None at all),10 (All my time),1 (None at all),1 (None at all),1 (None at all),University,Full Time,Permanent -- funded by Institution core funding,99.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,Freedom to choose own working practices,Desire to work in a research environment,Opportunity for career advancement,Desire to advance research,Flexible working hours,Same researcher(s),False,Named as co-author,True,various,3.0,1.0,1.0,False,2.0,False,False,False,True,False,No formal methodology,10 (All the time),10 (All the time),1 (None at all),,True,False,False,True,False,False,github,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,8,8,Strongly Agree,Strongly Agree,Strongly Agree,2,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Disagree,False,False,,,,,,GNU/Linux,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,False,,2018,2018_116
117,11/09/2018 13:01,Australia,True,AQF 10 - Doctoral Degree,02 Physical Sciences,,True,3,True,30.0,3,3,7,3,3,,,,,,University,Full Time,Fixed term -- funded by project funds,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,University,The salary,Desire to work in a research environment,Opportunity for career advancement,Freedom to choose own working practices,Opportunity to develop software,Regularly change researcher(s),True,Named as co-author,True,,,,,,1.0,False,False,False,True,False,,10 (All the time),10 (All the time),1 (None at all),,True,False,False,True,False,False,"github, bitbucket",2.0,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,8,6,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Disagree,False,True,True,True,True,True,True,GNU/Linux,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,learned myself,True,,2018,2018_117
118,11/09/2018 21:24,France,True,PhD,Biological Sciences,,False,2,True,20.0,8,3,1 (None at all),2,1 (None at all),8,3,1 (None at all),2,1 (None at all),Government,Full Time,Permanent -- funded by Institution core funding,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Desire to work in a research environment,Opportunity to develop software,Desire to advance research,I want to learn new skills,Flexible working hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2018_118
119,12/09/2018 00:29,United States,True,Masters Degree,Biological Sciences,,True,5 - Mostly other people,True,24.0,4,2,6,2,2,7,2,2,4,2,University,Full Time,Permanent -- funded by project funds,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,Opportunity to develop software,Freedom to choose own working practices,Desire to work in a research environment,I want to learn new skills,Ability to work across disciplines,Regularly change researcher(s),True,Acknowledged in the main text,True,"AGU, ESA, SSDBM, Workflows, RDA, ESIP, and dozens of others",14.0,2.0,,,2.0,True,False,False,True,True,,10 (All the time),10 (All the time),7,KNB repository,True,False,True,True,False,False,"Github, Waffle, Redmond, Jira, Gitlab, and many others",4.0,"Open Science for Synthesis, Arctic Data Center, DataONE, and NCEAS training programs",False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,,7,9,Agree,Agree,Strongly disagree,4,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree or disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2018_119
120,12/09/2018 01:57,New Zealand,True,Masters Degree,Mathematics,,True,3,True,20.0,3,2,2,2,4,4,4,2,1 (None at all),2,Private company,Full Time,Permanent -- funded by Institution core funding,100.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private company,The salary,I want to learn new skills,Desire to advance research,Opportunity to develop software,Freedom to choose own working practices,Same researcher(s),False,Named as co-author,False,,3.0,2.0,,,1.0,False,False,False,True,False,,10 (All the time),9,1 (None at all),,True,False,False,True,False,False,gitlab,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,7,7,Agree,Agree,Neither agree or disagree,7,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Neither agree or disagree,Agree,False,True,True,True,False,False,True,GNU/Linux,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,,,,,,,,school of hard knocks,True,marketing statistics,2018,2018_120
121,12/09/2018 02:11,Australia,True,AQF 10 - Doctoral Degree,06 Biological Sciences,,False,4,True,6.0,8,3,2,4,4,8,5,4,3,3,University,Full Time,Fixed term -- funded by Institution core funding,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,University,Opportunity to develop software,Freedom to choose own working practices,Flexible working hours,The salary,I want to learn new skills,Regularly change researcher(s),True,Named as co-author,False,,3.0,2.0,,,1.0,False,False,True,True,False,,10 (All the time),10 (All the time),4,Zenodo,True,False,False,True,False,False,"Github, Bitbucket, Gitlab (locally hosted), Google Docs, Slack, TravisCI, Dockerhub, Anaconda Cloud",3.0,"Software Carpentry (Python, R), local workshops in Software Carpentry style",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,7,7,Strongly Agree,Agree,Agree,3,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Disagree,Agree,Agree,True,,,,,,,OS X,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,"Self taught, practise",False,,2018,2018_121
122,12/09/2018 06:09,Australia,True,AQF 7 - Undergraduate degree,06 Biological Sciences,,False,5 - Mostly other people,True,5.0,4,1 (None at all),2,3,7,8,3,1 (None at all),2,6,University,Full Time,Permanent -- funded by Institution core funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,Other,I want to learn new skills,The salary,Opportunity to develop software,Freedom to choose own working practices,Desire to advance research,"Different researchers, same research group",False,Acknowledged in acknowledgements section,True,eResearch Australasia,2.0,3.0,,,2.0,True,False,False,True,False,,8,1 (None at all),1 (None at all),University,True,False,False,True,False,False,"gitlab, github",3.0,"Software Carpentry, Research Bazaar",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,8,8,Strongly Agree,Agree,Agree,2,Disagree,Strongly Agree,Strongly Agree,Neither agree or disagree,Strongly disagree,Disagree,Agree,,,,,,,,GNU/Linux,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,,,,,,,,online free courses,True,"Business Analyst skills, more general tech skills",2018,2018_122
123,12/09/2018 07:07,United States,True,PhD,Biological Sciences,,True,4,False,5.0,5,3,1 (None at all),1 (None at all),1 (None at all),8,5,1 (None at all),1 (None at all),1 (None at all),University,Full Time,Research/Student Assistant,4.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,I want to learn new skills,The salary,Desire to advance research,Opportunity to develop software,Freedom to choose own working practices,Same researcher(s),True,Acknowledged in the main text,True,,2.0,4.0,,,2.0,False,False,True,False,False,,10 (All the time),10 (All the time),1 (None at all),GitHub,True,False,False,False,False,True,,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2018_123
124,12/09/2018 08:04,Netherlands,True,PhD,Biological Sciences,,False,5 - Mostly other people,False,10.0,4,8,3,2,5,,,,,,Non-profit organization,Full Time,Permanent -- funded by project funds,7.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regularly change researcher(s),False,Named as co-author,True,"AACR, EACR, Bioconductor meeting",3.0,2.0,,,1.0,False,False,False,True,False,,10 (All the time),10 (All the time),1 (None at all),,True,False,False,True,False,False,Github,1.0,local training,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,8,8,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2018_124
125,12/09/2018 14:53,Germany,True,Masters Degree,English,,False,4,False,8.0,7,6,2,1 (None at all),3,9,9,1 (None at all),3,2,University,Part-time,Fixed term -- funded by project funds,3.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,Opportunity to develop software,Desire to advance research,Desire to work in a research environment,Freedom to choose own working practices,Flexible working hours,Regularly change researcher(s),False,Named as co-author,True,"DHd 2018 (Digital Humanities in the German speaking regions), RSE18, Collaborations Workshop 2018",5.0,1.0,,,2.0,False,False,False,True,False,,10 (All the time),10 (All the time),9,Zenodo,True,False,False,True,False,False,"GitHub, GitLab",0.0,Soon: Software Carpentry,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,8,7,Strongly Agree,Strongly Agree,Disagree,1 (None at all),Strongly disagree,Strongly Agree,Agree,Disagree,Neither agree or disagree,Disagree,Strongly Agree,True,,,,,,,GNU/Linux,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,"Self-training, community college, learning on the job",True,"Better grasp of Python & R, community building skills, training skills (sorry, that's four)",2018,2018_125
126,12/09/2018 15:44,United Kingdom,True,PhD,Computer Science,Prince2,False,5 - Mostly other people,True,14.0,2,4,9,8,3,2,10 (All my time),8,3,2,University,Full Time,Fixed term -- funded by project funds,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,Freedom to choose own working practices,Opportunity for career advancement,The salary,Desire to work in a research environment,Ability to work across disciplines,"Different researchers, same research group",False,Acknowledged in acknowledgements section,False,,,,,,2.0,True,False,False,True,False,,10 (All the time),10 (All the time),5,,,True,True,False,False,False,,35.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2,,Strongly disagree,Strongly Agree,Strongly disagree,9,Agree,Disagree,Agree,Neither agree or disagree,Strongly disagree,Neither agree or disagree,Agree,,,,,,,,,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,True,True,True,,,,,,,,,,,2018,2018_126
