,Year_0,row_id,Ranking,Choice
148,2018,2018_148,0,Desire to advance research
149,2018,2018_149,0,Ability to work across disciplines
150,2018,2018_150,0,Freedom to choose own working practices
151,2018,2018_151,0,I want to learn new skills
152,2018,2018_152,0,Desire to advance research
153,2018,2018_153,0,Desire to work in a research environment
154,2018,2018_154,0,Desire to advance research
155,2018,2018_155,0,Opportunity to develop software
156,2018,2018_156,0,Freedom to choose own working practices
158,2018,2018_158,0,Freedom to choose own working practices
159,2018,2018_159,0,Desire to work in a research environment
160,2018,2018_160,0,Desire to advance research
161,2018,2018_161,0,Freedom to choose own working practices
162,2018,2018_162,0,Desire to advance research
163,2018,2018_163,0,Desire to work in a research environment
164,2018,2018_164,0,Opportunity for career advancement
165,2018,2018_165,0,Ability to work across disciplines
166,2018,2018_166,0,The salary
167,2018,2018_167,0,Opportunity to develop software
168,2018,2018_168,0,I want to learn new skills
169,2018,2018_169,0,Desire to work in a research environment
170,2018,2018_170,0,Opportunity to develop software
171,2018,2018_171,0,Opportunity to develop software
172,2018,2018_172,0,Desire to work in a research environment
173,2018,2018_173,0,I want to learn new skills
174,2018,2018_174,0,Opportunity to develop software
175,2018,2018_175,0,Opportunity to develop software
176,2018,2018_176,0,Opportunity to develop software
177,2018,2018_177,0,Desire to advance research
178,2018,2018_178,0,Opportunity for career advancement
179,2018,2018_179,0,Desire to work in a research environment
180,2018,2018_180,0,Opportunity to develop software
181,2018,2018_181,0,The salary
182,2018,2018_182,0,Desire to work in a research environment
183,2018,2018_183,0,Flexible working hours
184,2018,2018_184,0,Opportunity to develop software
185,2018,2018_185,0,I want to learn new skills
186,2018,2018_186,0,Desire to advance research
187,2018,2018_187,0,Desire to work in a research environment
188,2018,2018_188,0,Opportunity to develop software
189,2018,2018_189,0,Desire to advance research
190,2018,2018_190,0,Desire to advance research
191,2018,2018_191,0,I want to learn new skills
192,2018,2018_192,0,Freedom to choose own working practices
193,2018,2018_193,0,Opportunity for career advancement
194,2018,2018_194,0,Opportunity to develop software
195,2018,2018_195,0,Freedom to choose own working practices
196,2018,2018_196,0,I want to learn new skills
197,2018,2018_197,0,Opportunity for career advancement
198,2018,2018_198,0,Desire to advance research
199,2018,2018_199,0,Opportunity to develop software
200,2018,2018_200,0,Freedom to choose own working practices
201,2018,2018_201,0,Flexible working hours
202,2018,2018_202,0,Flexible working hours
203,2018,2018_203,0,The salary
204,2018,2018_204,0,Desire to work in a research environment
205,2018,2018_205,0,Opportunity for career advancement
206,2018,2018_206,0,Freedom to choose own working practices
207,2018,2018_207,0,Opportunity to develop software
208,2018,2018_208,0,Flexible working hours
209,2018,2018_209,0,I want to learn new skills
210,2018,2018_210,0,I want to learn new skills
211,2018,2018_211,0,Desire to work in a research environment
212,2018,2018_212,0,Desire to work in a research environment
213,2018,2018_213,0,Desire to advance research
214,2018,2018_214,0,Desire to work in a research environment
215,2018,2018_215,0,Desire to work in a research environment
216,2018,2018_216,0,Desire to advance research
217,2018,2018_217,0,Opportunity for career advancement
218,2018,2018_218,0,Desire to work in a research environment
219,2018,2018_219,0,Desire to advance research
222,2018,2018_222,0,Opportunity for career advancement
223,2018,2018_223,0,Opportunity for career advancement
224,2018,2018_224,0,Freedom to choose own working practices
225,2018,2018_225,0,Desire to advance research
226,2018,2018_226,0,Desire to advance research
227,2018,2018_227,0,I want to learn new skills
228,2018,2018_228,0,Opportunity to develop software
229,2018,2018_229,0,The salary
230,2018,2018_230,0,Desire to work in a research environment
232,2018,2018_232,0,Opportunity to develop software
233,2018,2018_233,0,The salary
234,2018,2018_234,0,Desire to advance research
235,2018,2018_235,0,Desire to work in a research environment
236,2018,2018_236,0,Desire to advance research
237,2018,2018_237,0,Desire to work in a research environment
238,2018,2018_238,0,Opportunity for career advancement
239,2018,2018_239,0,Desire to advance research
240,2018,2018_240,0,Desire to work in a research environment
241,2018,2018_241,0,Desire to advance research
242,2018,2018_242,0,Freedom to choose own working practices
243,2018,2018_243,0,Desire to work in a research environment
244,2018,2018_244,0,Ability to work across disciplines
245,2018,2018_245,0,Desire to work in a research environment
246,2018,2018_246,0,Desire to work in a research environment
247,2018,2018_247,0,Opportunity for career advancement
248,2018,2018_248,0,Flexible working hours
249,2018,2018_249,0,I want to learn new skills
250,2018,2018_250,0,Freedom to choose own working practices
251,2018,2018_251,0,Freedom to choose own working practices
252,2018,2018_252,0,Desire to advance research
253,2018,2018_253,0,I want to learn new skills
254,2018,2018_254,0,Desire to work in a research environment
255,2018,2018_255,0,I want to learn new skills
256,2018,2018_256,0,Desire to work in a research environment
257,2018,2018_257,0,Desire to work in a research environment
258,2018,2018_258,0,Desire to advance research
259,2018,2018_259,0,Opportunity to develop software
260,2018,2018_260,0,Opportunity to develop software
261,2018,2018_261,0,Desire to advance research
262,2018,2018_262,0,Desire to advance research
263,2018,2018_263,0,Desire to work in a research environment
264,2018,2018_264,0,The salary
265,2018,2018_265,0,Opportunity for career advancement
266,2018,2018_266,0,Opportunity for career advancement
267,2018,2018_267,0,Desire to advance research
269,2018,2018_269,0,Desire to work in a research environment
270,2018,2018_270,0,The salary
271,2018,2018_271,0,Flexible working hours
272,2018,2018_272,0,Desire to work in a research environment
273,2018,2018_273,0,Freedom to choose own working practices
274,2018,2018_274,0,Opportunity to develop software
275,2018,2018_275,0,Desire to advance research
276,2018,2018_276,0,Desire to advance research
278,2018,2018_278,0,Flexible working hours
279,2018,2018_279,0,Opportunity to develop software
280,2018,2018_280,0,I want to learn new skills
281,2018,2018_281,0,Opportunity to develop software
282,2018,2018_282,0,Freedom to choose own working practices
283,2018,2018_283,0,Desire to advance research
284,2018,2018_284,0,Desire to work in a research environment
285,2018,2018_285,0,Opportunity to develop software
286,2018,2018_286,0,Desire to work in a research environment
287,2018,2018_287,0,Desire to work in a research environment
288,2018,2018_288,0,Desire to advance research
289,2018,2018_289,0,Freedom to choose own working practices
290,2018,2018_290,0,Desire to work in a research environment
291,2018,2018_291,0,Desire to work in a research environment
292,2018,2018_292,0,Freedom to choose own working practices
293,2018,2018_293,0,Flexible working hours
295,2018,2018_295,0,Opportunity to develop software
296,2018,2018_296,0,Desire to advance research
297,2018,2018_297,0,The salary
298,2018,2018_298,0,The salary
299,2018,2018_299,0,Desire to work in a research environment
300,2018,2018_300,0,Opportunity to develop software
301,2018,2018_301,0,Desire to advance research
302,2018,2018_302,0,Desire to advance research
303,2018,2018_303,0,Desire to work in a research environment
304,2018,2018_304,0,Opportunity to develop software
305,2018,2018_305,0,Freedom to choose own working practices
306,2018,2018_306,0,Desire to work in a research environment
307,2018,2018_307,0,Desire to work in a research environment
308,2018,2018_308,0,Desire to advance research
309,2018,2018_309,0,Opportunity to develop software
310,2018,2018_310,0,Desire to work in a research environment
311,2018,2018_311,0,Desire to advance research
312,2018,2018_312,0,Opportunity to develop software
314,2018,2018_314,0,Desire to work in a research environment
316,2018,2018_316,0,Opportunity for career advancement
317,2018,2018_317,0,Desire to advance research
318,2018,2018_318,0,Ability to work across disciplines
319,2018,2018_319,0,Desire to work in a research environment
320,2018,2018_320,0,Opportunity to develop software
321,2018,2018_321,0,Opportunity to develop software
323,2018,2018_323,0,Freedom to choose own working practices
324,2018,2018_324,0,Desire to work in a research environment
325,2018,2018_325,0,Desire to advance research
326,2018,2018_326,0,Opportunity for career advancement
328,2018,2018_328,0,Flexible working hours
329,2018,2018_329,0,Desire to advance research
330,2018,2018_330,0,I want to learn new skills
332,2018,2018_332,0,Opportunity for career advancement
333,2018,2018_333,0,Opportunity to develop software
334,2018,2018_334,0,Ability to work across disciplines
335,2018,2018_335,0,Opportunity to develop software
336,2018,2018_336,0,Desire to advance research
337,2018,2018_337,0,Opportunity to develop software
338,2018,2018_338,0,Desire to advance research
342,2018,2018_342,0,Opportunity for career advancement
345,2018,2018_345,0,Desire to work in a research environment
347,2018,2018_347,0,Desire to work in a research environment
348,2018,2018_348,0,Desire to advance research
349,2018,2018_349,0,Desire to work in a research environment
350,2018,2018_350,0,Desire to work in a research environment
351,2018,2018_351,0,Desire to advance research
352,2018,2018_352,0,Desire to work in a research environment
353,2018,2018_353,0,Opportunity for career advancement
354,2018,2018_354,0,Desire to work in a research environment
356,2018,2018_356,0,Desire to advance research
357,2018,2018_357,0,Desire to advance research
359,2018,2018_359,0,Opportunity to develop software
360,2018,2018_360,0,Desire to work in a research environment
361,2018,2018_361,0,Desire to work in a research environment
362,2018,2018_362,0,Ability to work across disciplines
363,2018,2018_363,0,I want to learn new skills
364,2018,2018_364,0,I want to learn new skills
365,2018,2018_365,0,Freedom to choose own working practices
367,2018,2018_367,0,Ability to work across disciplines
368,2018,2018_368,0,Freedom to choose own working practices
369,2018,2018_369,0,I want to learn new skills
370,2018,2018_370,0,Desire to advance research
373,2018,2018_373,0,Desire to work in a research environment
383,2018,2018_383,0,Desire to work in a research environment
384,2018,2018_384,0,Flexible working hours
388,2018,2018_388,0,Opportunity to develop software
389,2018,2018_389,0,Freedom to choose own working practices
390,2018,2018_390,0,Opportunity to develop software
391,2018,2018_391,0,Flexible working hours
392,2018,2018_392,0,Opportunity to develop software
393,2018,2018_393,0,I want to learn new skills
394,2018,2018_394,0,Desire to advance research
396,2018,2018_396,0,Opportunity to develop software
397,2018,2018_397,0,Desire to work in a research environment
398,2018,2018_398,0,Desire to work in a research environment
399,2018,2018_399,0,I want to learn new skills
400,2018,2018_400,0,Desire to work in a research environment
401,2018,2018_401,0,Desire to advance research
402,2018,2018_402,0,Freedom to choose own working practices
403,2018,2018_403,0,Desire to advance research
404,2018,2018_404,0,Desire to work in a research environment
405,2018,2018_405,0,I want to learn new skills
