,Year_0,row_id,fund2
0,2018,2018_3,I volunteer my time
1,2018,2018_7,I volunteer my time
2,2018,2018_8,I volunteer my time
3,2018,2018_11,I volunteer my time
4,2018,2018_12,I volunteer my time
5,2018,2018_15,I volunteer my time
6,2018,2018_16,I volunteer my time
7,2018,2018_18,I volunteer my time
8,2018,2018_21,I volunteer my time
9,2018,2018_26,I volunteer my time
10,2018,2018_28,I volunteer my time
11,2018,2018_30,I volunteer my time
12,2018,2018_32,I volunteer my time
13,2018,2018_36,I volunteer my time
14,2018,2018_38,I volunteer my time
15,2018,2018_43,I volunteer my time
16,2018,2018_52,I volunteer my time
17,2018,2018_53,I volunteer my time
18,2018,2018_57,I volunteer my time
19,2018,2018_60,I volunteer my time
20,2018,2018_61,I volunteer my time
21,2018,2018_66,I volunteer my time
22,2018,2018_69,I volunteer my time
23,2018,2018_72,I volunteer my time
24,2018,2018_76,I volunteer my time
25,2018,2018_80,I volunteer my time
26,2018,2018_87,I volunteer my time
27,2018,2018_89,I volunteer my time
28,2018,2018_92,I volunteer my time
29,2018,2018_93,I volunteer my time
30,2018,2018_94,I volunteer my time
31,2018,2018_95,I volunteer my time
32,2018,2018_96,I volunteer my time
33,2018,2018_98,I volunteer my time
34,2018,2018_102,I volunteer my time
35,2018,2018_105,I volunteer my time
36,2018,2018_108,I volunteer my time
37,2018,2018_111,I volunteer my time
38,2018,2018_114,I volunteer my time
39,2018,2018_124,I volunteer my time
40,2018,2018_136,I volunteer my time
41,2018,2018_137,I volunteer my time
42,2018,2018_147,I volunteer my time
43,2018,2018_151,I volunteer my time
44,2018,2018_170,I volunteer my time
45,2018,2018_172,I volunteer my time
46,2018,2018_189,I volunteer my time
47,2018,2018_195,I volunteer my time
48,2018,2018_205,I volunteer my time
49,2018,2018_211,I volunteer my time
50,2018,2018_218,I volunteer my time
51,2018,2018_236,I volunteer my time
52,2018,2018_239,I volunteer my time
53,2018,2018_243,I volunteer my time
54,2018,2018_245,I volunteer my time
55,2018,2018_256,I volunteer my time
56,2018,2018_264,I volunteer my time
57,2018,2018_267,I volunteer my time
58,2018,2018_271,I volunteer my time
59,2018,2018_289,I volunteer my time
60,2018,2018_301,I volunteer my time
61,2018,2018_302,I volunteer my time
62,2018,2018_305,I volunteer my time
63,2018,2018_314,I volunteer my time
64,2018,2018_323,I volunteer my time
65,2018,2018_326,I volunteer my time
66,2018,2018_329,I volunteer my time
67,2018,2018_347,I volunteer my time
68,2018,2018_348,I volunteer my time
69,2018,2018_352,I volunteer my time
70,2018,2018_356,I volunteer my time
71,2018,2018_357,I volunteer my time
72,2018,2018_359,I volunteer my time
73,2018,2018_361,I volunteer my time
74,2018,2018_362,I volunteer my time
75,2018,2018_370,I volunteer my time
76,2018,2018_377,I volunteer my time
77,2018,2018_378,I volunteer my time
78,2018,2018_380,I volunteer my time
79,2018,2018_389,I volunteer my time
80,2018,2018_390,I volunteer my time
81,2018,2018_391,I volunteer my time
82,2018,2018_392,I volunteer my time
83,2018,2018_393,I volunteer my time
84,2018,2018_396,I volunteer my time
85,2018,2018_408,I volunteer my time
86,2018,2018_412,I volunteer my time
87,2018,2018_419,I volunteer my time
88,2018,2018_422,I volunteer my time
89,2018,2018_423,I volunteer my time
90,2018,2018_424,I volunteer my time
91,2018,2018_427,I volunteer my time
92,2018,2018_428,I volunteer my time
93,2018,2018_433,I volunteer my time
94,2018,2018_447,I volunteer my time
