,Year_0,row_id,ukrse3_0,skill2_0
0,2018,2018_0,university,Machine learning
1,2018,2018_0,job,Machine learning
2,2018,2018_0,university,domain expertise
3,2018,2018_0,job,domain expertise
4,2018,2018_0,university,people management
5,2018,2018_0,job,people management
6,2018,2018_1,job,
7,2018,2018_1,self-taught,
8,2018,2018_1,university,
10,2018,2018_3,self-taught,C++ design patterns
11,2018,2018_3,and from reading other people's code,C++ design patterns
12,2018,2018_3,self-taught,workload management
13,2018,2018_3,and from reading other people's code,workload management
14,2018,2018_4,self-taught,management skills
15,2018,2018_4,self-taught,kubernetes
16,2018,2018_4,self-taught,maths
17,2018,2018_5,university,Testing
18,2018,2018_5,school,Testing
19,2018,2018_5,own interests.,Testing
20,2018,2018_5,university,using a wider technology base.
21,2018,2018_5,school,using a wider technology base.
22,2018,2018_5,own interests.,using a wider technology base.
23,2018,2018_6,very carefully,"Signal processing,Statistics,Mathematics"
24,2018,2018_7,self-taught,Higher level architecure
25,2018,2018_7,self-taught,software design
26,2018,2018_7,self-taught,design patterns
27,2018,2018_7,self-taught,small dev team management
28,2018,2018_7,self-taught,how to get institutions to give you a proper job instead of jerking you around.
31,2018,2018_10,university,Understanding of funding opportunities
32,2018,2018_10,job,Understanding of funding opportunities
33,2018,2018_10,university,career progression within institutions
34,2018,2018_10,job,career progression within institutions
35,2018,2018_11,self-taught,Financing
36,2018,2018_11,self-taught,Crowdfunding
37,2018,2018_12,partially trained as a computer scientist,management of software projects
38,2018,2018_12,partially trained as a computer scientist,metaprogramming and macros
39,2018,2018_12,partially trained as a computer scientist,design patterns
40,2018,2018_13,self-taught,A functional programming language e.g. Clojure
41,2018,2018_13,self-taught,Negotiation skills
42,2018,2018_13,self-taught,Distributed data processing and storage
43,2018,2018_14,university,Machine learning
44,2018,2018_14,university,deep learning
45,2018,2018_14,university,advanced parallel programming
46,2018,2018_14,university,technical leadership
48,2018,2018_16,self-taught,careers management
49,2018,2018_16,self-taught,software carpentry teacher
50,2018,2018_17,self-taught,Testing
51,2018,2018_17,self-taught,optimisation
52,2018,2018_17,self-taught,how to work on large scale collaborative projects.
53,2018,2018_18,self-taught,Object-oriented programming
54,2018,2018_18,self-taught,communication skills
55,2018,2018_18,self-taught,learning how to teach
57,2018,2018_20,throughout career; some in school,testing software
58,2018,2018_20,throughout career; some in school,code
59,2018,2018_20,job,testing software
60,2018,2018_20,job,code
61,2018,2018_20,university,testing software
62,2018,2018_20,university,code
63,2018,2018_20,throughout career; some in school,networking with other people with similar positions
64,2018,2018_20,job,networking with other people with similar positions
65,2018,2018_20,university,networking with other people with similar positions
66,2018,2018_20,throughout career; some in school,neural networks and advanced machine learning platforms
67,2018,2018_20,job,neural networks and advanced machine learning platforms
68,2018,2018_20,university,neural networks and advanced machine learning platforms
69,2018,2018_21,university,Managing a team of developers
71,2018,2018_23,self-taught,
72,2018,2018_24,job,Web-based development
73,2018,2018_25,university,
74,2018,2018_25,self-taught,
75,2018,2018_25,job,
76,2018,2018_26,master in computer sciences,How to create and lead an RSE group
77,2018,2018_27,university,Research methodology
78,2018,2018_27,been programming ever since.,Research methodology
79,2018,2018_27,university,more statistics
80,2018,2018_27,been programming ever since.,more statistics
81,2018,2018_27,university,not punching academics
82,2018,2018_27,been programming ever since.,not punching academics
83,2018,2018_28,no formal training,Understanding CI
84,2018,2018_28,no formal training,project management
85,2018,2018_28,no formal training,financial management
86,2018,2018_29,self-taught,best practices
87,2018,2018_29,self-taught,community building
88,2018,2018_29,self-taught,software design
89,2018,2018_30,university,workflow management
90,2018,2018_30,blogs,workflow management
91,2018,2018_30,self-taught,workflow management
92,2018,2018_30,self-taught,workflow management
94,2018,2018_32,not very often,Specific programming language skills
95,2018,2018_33,job,Research skills
96,2018,2018_33,job,grant writing
97,2018,2018_33,job,proposal development
98,2018,2018_33,job,social skills
102,2018,2018_37,university,Academic writing
103,2018,2018_37,job,Academic writing
104,2018,2018_37,university,high performance computing
105,2018,2018_37,job,high performance computing
106,2018,2018_37,university,time management
107,2018,2018_37,job,time management
108,2018,2018_38,university,DevOps
109,2018,2018_38,university,database admin
110,2018,2018_39,university,negotiation
111,2018,2018_39,university,formal testing
112,2018,2018_39,university,saying no
114,2018,2018_41,self-taught,concurrent
115,2018,2018_41,self-taught,parallel programming
116,2018,2018_41,osmosis,concurrent
117,2018,2018_41,osmosis,parallel programming
118,2018,2018_42,university,understanding CI
119,2018,2018_42,university,how to use Python effectively for HPC (e.g. large scale dask MPI on a scheduler)
120,2018,2018_42,university,good software development practise
121,2018,2018_42,self-taught,understanding CI
122,2018,2018_42,self-taught,how to use Python effectively for HPC (e.g. large scale dask MPI on a scheduler)
123,2018,2018_42,self-taught,good software development practise
124,2018,2018_43,university,Documentation
126,2018,2018_45,university,
127,2018,2018_45,job,
128,2018,2018_46,job,Further programming experience
129,2018,2018_46,job,general computer science skills
130,2018,2018_46,job,improved data science techniques
131,2018,2018_47,university,GPU
132,2018,2018_47,university,Javascript
133,2018,2018_47,university,go
134,2018,2018_48,job,
135,2018,2018_49,,scientific
136,2018,2018_50,university,
137,2018,2018_51,job,bayesian statistics
138,2018,2018_51,university,bayesian statistics
139,2018,2018_51,job,machine learning
140,2018,2018_51,university,machine learning
141,2018,2018_51,job,interactive graphics
142,2018,2018_51,university,interactive graphics
143,2018,2018_52,self-taught,Presentation
144,2018,2018_52,self-taught,Presentation
145,2018,2018_52,university,Presentation
146,2018,2018_52,from teaching software carpentry in a team,Presentation
147,2018,2018_52,self-taught,Tracking Progress (Changelogs)
148,2018,2018_52,self-taught,Tracking Progress (Changelogs)
149,2018,2018_52,university,Tracking Progress (Changelogs)
150,2018,2018_52,from teaching software carpentry in a team,Tracking Progress (Changelogs)
151,2018,2018_52,self-taught,Testing packages
152,2018,2018_52,self-taught,Testing packages
153,2018,2018_52,university,Testing packages
154,2018,2018_52,from teaching software carpentry in a team,Testing packages
155,2018,2018_53,university,grant writing
156,2018,2018_53,university,paper writing
157,2018,2018_53,university,new programming languages and techniques (e.g. Rust)
158,2018,2018_54,self-taught,
159,2018,2018_55,bs and ms,
161,2018,2018_57,self-taught,
162,2018,2018_58,self-taught,vhdl
163,2018,2018_58,self-taught,project management
164,2018,2018_58,self-taught,c++20
165,2018,2018_59,university,experience
166,2018,2018_59,university,knowledge of how to translate my work to a research paper
167,2018,2018_59,self-taught,experience
168,2018,2018_59,self-taught,knowledge of how to translate my work to a research paper
169,2018,2018_59,job,experience
170,2018,2018_59,job,knowledge of how to translate my work to a research paper
171,2018,2018_60,on the field!,
172,2018,2018_61,self-taught,Statistics
173,2018,2018_61,self-taught,Marketing
174,2018,2018_61,self-taught,Publication
175,2018,2018_62,university,Continuous Integration
176,2018,2018_62,university,Testing Methodologies
177,2018,2018_62,university,Project Leadership
178,2018,2018_63,sweat,BDD
179,2018,2018_63,my dude.,BDD
180,2018,2018_63,sweat,observability
181,2018,2018_63,my dude.,observability
182,2018,2018_63,sweat,Natural Language Processing
183,2018,2018_63,my dude.,Natural Language Processing
184,2018,2018_64,self-taught,the skills I've got
185,2018,2018_64,self-taught,the skills I've got
186,2018,2018_64,in-house training,the skills I've got
187,2018,2018_64,self-taught,learn more about HPC
188,2018,2018_64,self-taught,learn more about HPC
189,2018,2018_64,in-house training,learn more about HPC
190,2018,2018_64,self-taught,learning how to sell the skills I've got
