,Year_0,row_id,org2can
0,2018,2018_1,Networking
1,2018,2018_2,Networking
2,2018,2018_5,Networking
3,2018,2018_7,Networking
4,2018,2018_10,Networking
5,2018,2018_11,Networking
6,2018,2018_13,Networking
7,2018,2018_20,Networking
8,2018,2018_21,Networking
9,2018,2018_25,Networking
10,2018,2018_27,Networking
11,2018,2018_29,Networking
12,2018,2018_34,Networking
13,2018,2018_46,Networking
14,2018,2018_53,Networking
15,2018,2018_58,Networking
16,2018,2018_59,Networking
17,2018,2018_60,Networking
18,2018,2018_61,Networking
19,2018,2018_62,Networking
20,2018,2018_63,Networking
21,2018,2018_66,Networking
22,2018,2018_67,Networking
23,2018,2018_69,Networking
24,2018,2018_73,Networking
25,2018,2018_76,Networking
26,2018,2018_78,Networking
27,2018,2018_80,Networking
28,2018,2018_82,Networking
29,2018,2018_84,Networking
30,2018,2018_85,Networking
31,2018,2018_87,Networking
32,2018,2018_89,Networking
33,2018,2018_92,Networking
34,2018,2018_93,Networking
35,2018,2018_96,Networking
36,2018,2018_97,Networking
37,2018,2018_98,Networking
38,2018,2018_103,Networking
39,2018,2018_104,Networking
40,2018,2018_111,Networking
41,2018,2018_115,Networking
42,2018,2018_117,Networking
43,2018,2018_120,Networking
44,2018,2018_128,Networking
45,2018,2018_132,Networking
46,2018,2018_134,Networking
47,2018,2018_138,Networking
48,2018,2018_145,Networking
49,2018,2018_147,Networking
50,2018,2018_149,Networking
51,2018,2018_154,Networking
52,2018,2018_160,Networking
53,2018,2018_167,Networking
54,2018,2018_176,Networking
55,2018,2018_177,Networking
56,2018,2018_200,Networking
57,2018,2018_205,Networking
58,2018,2018_208,Networking
59,2018,2018_210,Networking
60,2018,2018_213,Networking
61,2018,2018_216,Networking
62,2018,2018_218,Networking
63,2018,2018_224,Networking
64,2018,2018_225,Networking
65,2018,2018_229,Networking
66,2018,2018_232,Networking
67,2018,2018_233,Networking
68,2018,2018_240,Networking
69,2018,2018_246,Networking
70,2018,2018_256,Networking
71,2018,2018_266,Networking
72,2018,2018_276,Networking
73,2018,2018_281,Networking
74,2018,2018_287,Networking
75,2018,2018_289,Networking
76,2018,2018_290,Networking
77,2018,2018_296,Networking
78,2018,2018_297,Networking
79,2018,2018_298,Networking
80,2018,2018_299,Networking
81,2018,2018_300,Networking
82,2018,2018_309,Networking
83,2018,2018_311,Networking
84,2018,2018_314,Networking
85,2018,2018_323,Networking
86,2018,2018_328,Networking
87,2018,2018_329,Networking
88,2018,2018_333,Networking
89,2018,2018_336,Networking
90,2018,2018_343,Networking
91,2018,2018_345,Networking
92,2018,2018_348,Networking
93,2018,2018_368,Networking
94,2018,2018_376,Networking
95,2018,2018_380,Networking
96,2018,2018_383,Networking
97,2018,2018_386,Networking
98,2018,2018_391,Networking
99,2018,2018_392,Networking
100,2018,2018_394,Networking
101,2018,2018_396,Networking
102,2018,2018_398,Networking
103,2018,2018_401,Networking
104,2018,2018_404,Networking
105,2018,2018_408,Networking
106,2018,2018_409,Networking
107,2018,2018_412,Networking
108,2018,2018_419,Networking
109,2018,2018_423,Networking
110,2018,2018_428,Networking
111,2018,2018_430,Networking
112,2018,2018_432,Networking
113,2018,2018_434,Networking
114,2018,2018_435,Networking
115,2018,2018_436,Networking
116,2018,2018_437,Networking
117,2018,2018_439,Networking
118,2018,2018_444,Networking
119,2018,2018_447,Networking
120,2018,2018_449,Networking
121,2018,2018_451,Networking
122,2018,2018_453,Networking
123,2018,2018_464,Networking
124,2018,2018_467,Networking
125,2018,2018_468,Networking
126,2018,2018_473,Networking
127,2018,2018_476,Networking
128,2018,2018_484,Networking
129,2018,2018_490,Networking
130,2018,2018_491,Networking
131,2018,2018_492,Networking
132,2018,2018_493,Networking
133,2018,2018_494,Networking
134,2018,2018_505,Networking
135,2018,2018_519,Networking
136,2018,2018_520,Networking
137,2018,2018_523,Networking
138,2018,2018_531,Networking
139,2018,2018_536,Networking
140,2018,2018_542,Networking
141,2018,2018_543,Networking
142,2018,2018_546,Networking
143,2018,2018_549,Networking
144,2018,2018_551,Networking
145,2018,2018_557,Networking
146,2018,2018_560,Networking
147,2018,2018_566,Networking
148,2018,2018_568,Networking
149,2018,2018_574,Networking
150,2018,2018_583,Networking
151,2018,2018_585,Networking
152,2018,2018_590,Networking
153,2018,2018_591,Networking
154,2018,2018_597,Networking
155,2018,2018_601,Networking
156,2018,2018_604,Networking
157,2018,2018_613,Networking
158,2018,2018_614,Networking
159,2018,2018_618,Networking
160,2018,2018_619,Networking
161,2018,2018_620,Networking
162,2018,2018_624,Networking
163,2018,2018_628,Networking
164,2018,2018_630,Networking
165,2018,2018_631,Networking
166,2018,2018_633,Networking
167,2018,2018_636,Networking
168,2018,2018_639,Networking
169,2018,2018_640,Networking
170,2018,2018_643,Networking
171,2018,2018_646,Networking
172,2018,2018_648,Networking
173,2018,2018_652,Networking
174,2018,2018_655,Networking
175,2018,2018_656,Networking
176,2018,2018_657,Networking
177,2018,2018_663,Networking
178,2018,2018_666,Networking
179,2018,2018_668,Networking
180,2018,2018_672,Networking
181,2018,2018_677,Networking
182,2018,2018_678,Networking
183,2018,2018_680,Networking
184,2018,2018_689,Networking
185,2018,2018_693,Networking
186,2018,2018_695,Networking
187,2018,2018_696,Networking
188,2018,2018_697,Networking
189,2018,2018_699,Networking
190,2018,2018_702,Networking
191,2018,2018_704,Networking
192,2018,2018_714,Networking
