,Year_0,row_id,train3_0
502,2022,2022_408,die wir anbieten
506,2022,2022_412,python
507,2022,2022_412,cybersecurity
508,2022,2022_412,machine learning
509,2022,2022_412,stem gender initiatives
510,2022,2022_412,carpentries
516,2022,2022_418,phd courses
517,2022,2022_418,competence development for researchers
518,2022,2022_418,user introductions to specific platforms
519,2022,2022_419,i am teaching here
520,2022,2022_419,there everyday in my job
521,2022,2022_419,i post on dev
522,2022,2022_419,i post in my blog.
523,2022,2022_419,local university
524,2022,2022_420,carpentries
525,2022,2022_420,interne workshops
527,2022,2022_421,carpentries
528,2022,2022_421,discipline specific initiatives. 
535,2022,2022_428,local university
538,2022,2022_431,formation continue 
539,2022,2022_432,local university
540,2022,2022_432,cecam flagship school
541,2022,2022_433,onsite training
542,2022,2022_433,training videos
543,2022,2022_433,preparation of course materials
551,2022,2022_441,carpentries
559,2022,2022_448,carpentries
560,2022,2022_448,carpentries
561,2022,2022_448,data accelerator
570,2022,2022_456,carpentries
571,2022,2022_456, local summer students training
572,2022,2022_456,conference tutorials
573,2022,2022_457,carpentries
574,2022,2022_457,local institute training
581,2022,2022_463,gelegentlich universitaere kurse
585,2022,2022_467,feldkurs hydrogeologie
586,2022,2022_467,klimatologie
587,2022,2022_467,der universität
589,2022,2022_469,programme local
590,2022,2022_470,lehrgang an universitaet
594,2022,2022_474,university training
595,2022,2022_475,carpentries
596,2022,2022_476,winter schools
597,2022,2022_476,summer schools
608,2022,2022_487,local university
609,2022,2022_488,simtech training
610,2022,2022_489,carpentries
611,2022,2022_489,local university
615,2022,2022_493,local
617,2022,2022_495,local university
618,2022,2022_496,local training
619,2022,2022_496,abroad training
621,2022,2022_498,carpentries
622,2022,2022_499,software engineering with python
623,2022,2022_499,carpentries
626,2022,2022_502,local training
628,2022,2022_504,carpentries
631,2022,2022_507,online
632,2022,2022_507,conference tutorials
638,2022,2022_513,lehrgänge im rahmen von fortbildungsveranstaltungen in großen forstbetrieben und in waldbesitzenden kommunen
652,2022,2022_526,gruppeninterne workshops
654,2022,2022_528,local university
656,2022,2022_530,carpentries
657,2022,2022_530,code in place
658,2022,2022_530,university workshops
663,2022,2022_535,no specific programme
666,2022,2022_538,university training
668,2022,2022_540,lehrgang an universitäten
669,2022,2022_541,university workshops
671,2022,2022_543,local university
673,2022,2022_545,in house
674,2022,2022_545,nz climate modelling
675,2022,2022_545,carpentries
677,2022,2022_547,local university
678,2022,2022_547,genomics aotearoa
684,2022,2022_553,carpentries
690,2022,2022_559,informal
693,2022,2022_562,carpentries
694,2022,2022_562,carpentries
695,2022,2022_562,teaching philosophy)
697,2022,2022_564,enccs
699,2022,2022_566,university graduate school program
701,2022,2022_568,carpentries
708,2022,2022_575,carpentries
709,2022,2022_575,unikurs
714,2022,2022_580,enccs training
715,2022,2022_581,local university
716,2022,2022_582,r applications
717,2022,2022_582,courses
718,2022,2022_582,workshops
721,2022,2022_585,carpentries
722,2022,2022_585,university lecturer on programming
723,2022,2022_586,local university
724,2022,2022_587,carpentries
726,2022,2022_588,carpentries
727,2022,2022_589,carpentries
734,2022,2022_596,carpentries
738,2022,2022_600,carpentries
739,2022,2022_600,coderefinery
741,2022,2022_602,carpentries
742,2022,2022_603,carpentries
751,2022,2022_612,carpentries
752,2022,2022_612,local university
755,2022,2022_615,carpentries
