,Year_0,row_id,org2can
0,2022,2022_1,Networking
1,2022,2022_4,Networking
2,2022,2022_13,Networking
3,2022,2022_16,Networking
4,2022,2022_17,Networking
5,2022,2022_19,Networking
6,2022,2022_21,Networking
7,2022,2022_22,Networking
8,2022,2022_23,Networking
9,2022,2022_28,Networking
10,2022,2022_29,Networking
11,2022,2022_31,Networking
12,2022,2022_33,Networking
13,2022,2022_34,Networking
14,2022,2022_36,Networking
15,2022,2022_38,Networking
16,2022,2022_40,Networking
17,2022,2022_42,Networking
18,2022,2022_43,Networking
19,2022,2022_45,Networking
20,2022,2022_53,Networking
21,2022,2022_54,Networking
22,2022,2022_56,Networking
23,2022,2022_58,Networking
24,2022,2022_59,Networking
25,2022,2022_60,Networking
26,2022,2022_61,Networking
27,2022,2022_62,Networking
28,2022,2022_63,Networking
29,2022,2022_66,Networking
30,2022,2022_68,Networking
31,2022,2022_72,Networking
32,2022,2022_73,Networking
33,2022,2022_74,Networking
34,2022,2022_77,Networking
35,2022,2022_81,Networking
36,2022,2022_83,Networking
37,2022,2022_84,Networking
38,2022,2022_85,Networking
39,2022,2022_86,Networking
40,2022,2022_87,Networking
41,2022,2022_88,Networking
42,2022,2022_89,Networking
43,2022,2022_91,Networking
44,2022,2022_92,Networking
45,2022,2022_93,Networking
46,2022,2022_94,Networking
47,2022,2022_95,Networking
48,2022,2022_97,Networking
49,2022,2022_98,Networking
50,2022,2022_99,Networking
51,2022,2022_101,Networking
52,2022,2022_103,Networking
53,2022,2022_106,Networking
54,2022,2022_108,Networking
55,2022,2022_111,Networking
56,2022,2022_113,Networking
57,2022,2022_117,Networking
58,2022,2022_119,Networking
59,2022,2022_121,Networking
60,2022,2022_124,Networking
61,2022,2022_125,Networking
62,2022,2022_131,Networking
63,2022,2022_137,Networking
64,2022,2022_140,Networking
65,2022,2022_142,Networking
66,2022,2022_143,Networking
67,2022,2022_144,Networking
68,2022,2022_150,Networking
69,2022,2022_152,Networking
70,2022,2022_153,Networking
71,2022,2022_154,Networking
72,2022,2022_159,Networking
73,2022,2022_160,Networking
74,2022,2022_162,Networking
75,2022,2022_167,Networking
76,2022,2022_172,Networking
77,2022,2022_173,Networking
78,2022,2022_174,Networking
79,2022,2022_182,Networking
80,2022,2022_183,Networking
81,2022,2022_187,Networking
82,2022,2022_204,Networking
83,2022,2022_205,Networking
84,2022,2022_210,Networking
85,2022,2022_212,Networking
86,2022,2022_214,Networking
87,2022,2022_215,Networking
88,2022,2022_217,Networking
89,2022,2022_221,Networking
90,2022,2022_222,Networking
91,2022,2022_223,Networking
92,2022,2022_224,Networking
93,2022,2022_225,Networking
94,2022,2022_230,Networking
95,2022,2022_231,Networking
96,2022,2022_233,Networking
97,2022,2022_236,Networking
98,2022,2022_237,Networking
99,2022,2022_238,Networking
100,2022,2022_243,Networking
101,2022,2022_246,Networking
102,2022,2022_248,Networking
103,2022,2022_259,Networking
104,2022,2022_263,Networking
105,2022,2022_266,Networking
106,2022,2022_270,Networking
107,2022,2022_271,Networking
108,2022,2022_272,Networking
109,2022,2022_277,Networking
110,2022,2022_278,Networking
111,2022,2022_283,Networking
112,2022,2022_285,Networking
113,2022,2022_286,Networking
114,2022,2022_287,Networking
115,2022,2022_288,Networking
116,2022,2022_290,Networking
117,2022,2022_291,Networking
118,2022,2022_294,Networking
119,2022,2022_295,Networking
120,2022,2022_296,Networking
121,2022,2022_297,Networking
122,2022,2022_300,Networking
123,2022,2022_303,Networking
124,2022,2022_305,Networking
125,2022,2022_306,Networking
126,2022,2022_307,Networking
127,2022,2022_311,Networking
128,2022,2022_312,Networking
129,2022,2022_314,Networking
130,2022,2022_320,Networking
131,2022,2022_326,Networking
132,2022,2022_331,Networking
133,2022,2022_337,Networking
134,2022,2022_341,Networking
135,2022,2022_342,Networking
136,2022,2022_343,Networking
137,2022,2022_346,Networking
138,2022,2022_347,Networking
139,2022,2022_350,Networking
140,2022,2022_353,Networking
