,Year_0,row_id,conf2can_0
7,2022,2022_7,ECCB
14,2022,2022_14,Galaxy Community Conference
21,2022,2022_21,EPS
22,2022,2022_21,IOP Plasma Physics
24,2022,2022_22,SPIE Instrumentation
25,2022,2022_23,UK RSE Conference
26,2022,2022_23,IEEE eScience Conference
27,2022,2022_23,Blender Conference
30,2022,2022_26,CAI (Congreso Argentino de AgroInformática)
31,2022,2022_26,AGRANDA (Simposio Argentino de grandes datos y ciencia de datos)
32,2022,2022_26,ASAI (Simposio argentino de inteligencia artioficial)
33,2022,2022_26,SIE (Simposio de informática en el estado)
35,2022,2022_26,APA (Reunión anual de producción animal)
37,2022,2022_26,Congreso Argentino de Meteorlogía
38,2022,2022_26,Reunión Bianual de agrometeorología
39,2022,2022_27,Pearc
40,2022,2022_28,Software developer conferences
43,2022,2022_31,SciPy
44,2022,2022_32,ESA
47,2022,2022_34,Supercomputing (SC)
63,2022,2022_50,ADAAS
67,2022,2022_54,RSEConUK
68,2022,2022_55,SciPy
69,2022,2022_55,PyData
70,2022,2022_55,Society for Neuroscience annual conference
72,2022,2022_56,ADASS
73,2022,2022_56,PSIDA
74,2022,2022_56,PDW
75,2022,2022_56,AAS
76,2022,2022_56,LPSC
81,2022,2022_61,SC
87,2022,2022_66,NOBUGS (New Opportunities for Better User Group Software) 
90,2022,2022_68,American Physical Society Division of Plasma Physics annual meeting
91,2022,2022_68,American Geophysical Union fall meeting
98,2022,2022_74,eScience
99,2022,2022_74,SC
100,2022,2022_74,ACAT
101,2022,2022_74,CHEP
109,2022,2022_81,scipy
111,2022,2022_83,Juliacon
112,2022,2022_84,PNSQC
113,2022,2022_84,QaSig Seattle
114,2022,2022_85,IEEE HPEC
115,2022,2022_85,GOMAC
116,2022,2022_85,Northeast Database Day
117,2022,2022_85,Accumulo Summit
118,2022,2022_85,OpenEdx Conference
121,2022,2022_87,PEARC
122,2022,2022_88,Digital Humanities
129,2022,2022_94,RSLondon
130,2022,2022_94,UseR!
131,2022,2022_94,R user groups
132,2022,2022_94,UCL and Sheffield RSE groups
133,2022,2022_95,Supercomputing
136,2022,2022_98,eResearch Australasia
139,2022,2022_101,JuliaCon
141,2022,2022_103,RSE
144,2022,2022_106,Galaxy Community Conference
146,2022,2022_108,eResearch Australasia
150,2022,2022_111,AGU and other heliophysics conferences
152,2022,2022_113,A variety of technique specific events
153,2022,2022_113,own hosted events and roadshows
155,2022,2022_115,Many
156,2022,2022_115,public health related
158,2022,2022_117,The annual symposium on lattice field theory
161,2022,2022_120,Organisation for Human Brain Mapping; Joint Statistical Meetings
162,2022,2022_121,Local meetups
164,2022,2022_123,Toronto Workshop on Reproducibility
165,2022,2022_123,Scottish Fintech Summit
166,2022,2022_123,DataTech
178,2022,2022_132,Various
180,2022,2022_134,CVPR
181,2022,2022_134,ISMRM
182,2022,2022_134,MICCAI
183,2022,2022_134,BMVC
189,2022,2022_140,APS
190,2022,2022_140,SCALA
198,2022,2022_145,quite a few others
203,2022,2022_150,JuliaCon
216,2022,2022_160,Bioconductor
218,2022,2022_162,SCnn
219,2022,2022_162,IEEE Cluster
220,2022,2022_162,SIAM PP
225,2022,2022_167,Brainhack
226,2022,2022_167,nilearn code sprint
242,2022,2022_182,Society For Neuroscience Meeting
248,2022,2022_188,ASLO
256,2022,2022_196,Réunions de collaboration
260,2022,2022_200,ECAL
261,2022,2022_200,ALIFE
262,2022,2022_200,RSE
263,2022,2022_200,HPCS
267,2022,2022_204,Réunions de collaboration
269,2022,2022_206,EuroSciPy
270,2022,2022_207,EGU
271,2022,2022_207,Metabolomics
279,2022,2022_213,CHEP (Computing for High Energy Physics)
291,2022,2022_222,LREC
292,2022,2022_222,CLARIN Annual Conferance
293,2022,2022_222,DH
294,2022,2022_223,TEI member's meetings
295,2022,2022_223,DHd conferences
296,2022,2022_224,Supercomputing
298,2022,2022_226,JuliaCon
299,2022,2022_226,ICOSAHOM
307,2022,2022_233,IbSB
308,2022,2022_233,SMB
309,2022,2022_233,COMBINE
312,2022,2022_236,PDESoft
313,2022,2022_236,Enumath
316,2022,2022_239,JupyterCon
317,2022,2022_239,JOBIM
322,2022,2022_244,SIAM PP
323,2022,2022_244,SIAM CSE
324,2022,2022_244,EuroPar
325,2022,2022_244,ICS
328,2022,2022_246,DPG
329,2022,2022_246,EPS
330,2022,2022_246,APS
356,2022,2022_272,German Conference on Bioinformatics (GCB)
357,2022,2022_272,iSeq Symposium
358,2022,2022_272,FDM NRW Workshops
362,2022,2022_276,CHEP
363,2022,2022_277,DHd
364,2022,2022_277,Digital History
365,2022,2022_277,Bibtag
366,2022,2022_277,Histag
367,2022,2022_277,DINI
368,2022,2022_277,u.v.m.
377,2022,2022_285,ADHO
378,2022,2022_285,DHd
381,2022,2022_287,INCF Assembly
382,2022,2022_287,NWG
383,2022,2022_287,SFN
385,2022,2022_288,ASMS
386,2022,2022_288,ILS
387,2022,2022_288,SLAS
389,2022,2022_290,PyData global
399,2022,2022_300,CinC
400,2022,2022_300,deRSE
411,2022,2022_311,Language Resources and Evaluation Conference (LREC)
412,2022,2022_311,Corpus Linguistics Conference (CL)
415,2022,2022_313,AGU
416,2022,2022_313,EGU
432,2022,2022_327,Plasma Surface Interactions conference
433,2022,2022_327,Princeton
438,2022,2022_331,European Geophysical Union
439,2022,2022_331,European Meteorological Society
448,2022,2022_340,AGU EGU ISSW
454,2022,2022_346,Eddi
455,2022,2022_346,OSF
457,2022,2022_347,RSE conferences (de/uk)
458,2022,2022_347,project workshops
463,2022,2022_352,Bioinformatics conferences
468,2022,2022_357,SIAM CSE
469,2022,2022_357,QTLMAS
470,2022,2022_357,BICOB
471,2022,2022_357,ICQG
472,2022,2022_358,ParCFD
473,2022,2022_358,AICHE
474,2022,2022_358,CCEC
475,2022,2022_359,Many
476,2022,2022_359,not going to list them all.
480,2022,2022_363,SPIE ECBO
481,2022,2022_364,Keystone
484,2022,2022_366,e.g. APS March Meeting
494,2022,2022_376,CSIRO conference
496,2022,2022_377,Organisation for Human Brain Mapping (OHBM)
497,2022,2022_377,dedicated workshops for developed software
498,2022,2022_378,Python in Astronomy
499,2022,2022_378,eResearch Australasia
500,2022,2022_378,New Zealand Research Software Engineers Conference
506,2022,2022_383,Conférences SIAM par exemple
510,2022,2022_387,GMDS Jahrestagung
515,2022,2022_392,American Geophysical Union Fall Meeting
516,2022,2022_392,Goldschmidt
519,2022,2022_394,jtech ceph
520,2022,2022_394,jcad
522,2022,2022_396,CSMA
523,2022,2022_396,ECCOMAS Coupled conference
524,2022,2022_397,Euroscipy
525,2022,2022_397,Synchrotron radiation and Instrumentation
530,2022,2022_401,conférences
546,2022,2022_416,IPAW
547,2022,2022_416,IDCC
550,2022,2022_419,Local
554,2022,2022_420,deRSE
555,2022,2022_420,FrOSCon
559,2022,2022_422,EFMC
560,2022,2022_422,EGU
569,2022,2022_431,Workshop
571,2022,2022_432,Albert Einstein Science Park
572,2022,2022_432,Potsdam
576,2022,2022_434,WCPG
577,2022,2022_435,MDIS
581,2022,2022_439,European network workshops
582,2022,2022_439,ICPEAC
593,2022,2022_448,IFSG Conference
594,2022,2022_448,eResearch NZ
596,2022,2022_450,Transportation Research Board
603,2022,2022_457,IEEE eScience
604,2022,2022_457,IPDPS
609,2022,2022_460,EGU
612,2022,2022_463,ELIXIR Biohackathon
628,2022,2022_476,fosdem
629,2022,2022_476,plubic onderstanding of science
630,2022,2022_476,chi
631,2022,2022_476,www
633,2022,2022_476,winter schools
634,2022,2022_476,summer schools
646,2022,2022_488,SimTech conference
656,2022,2022_497,Austria; SPIE Optics + Optoelectronics
657,2022,2022_497,Czech Republic; Conference on Laser Ablation
658,2022,2022_497,Mexico; and more
659,2022,2022_498,RSE Conference
661,2022,2022_500,ESIP
662,2022,2022_500,RCOP
664,2022,2022_502,RSE
668,2022,2022_504,Invited talks
673,2022,2022_507,SciPy
674,2022,2022_507,PyConAU
680,2022,2022_512,AGU
681,2022,2022_512,EGU
682,2022,2022_512,IGARRS
683,2022,2022_512,ESIP
694,2022,2022_522,Tomography for Scientific Advancement
701,2022,2022_528,SIAM CSE
702,2022,2022_528,PyData
703,2022,2022_528,SciPy
704,2022,2022_529,American Medical Informatics Association
705,2022,2022_529,useR!
709,2022,2022_531,NOBUGS
711,2022,2022_531,American Conference on Neutron Scattering
716,2022,2022_535,project specific workshops
717,2022,2022_536,SHIM
718,2022,2022_536,ICACS
728,2022,2022_545,eResearch NZ
729,2022,2022_545,NZ Crown Research Institutes coding conference
732,2022,2022_547,PAG
738,2022,2022_553,NZRSE
739,2022,2022_553,eResearch NZ
749,2022,2022_563,Digital Humanties
750,2022,2022_563,IEEE eScience
751,2022,2022_564,PASC
752,2022,2022_564,SIAM
753,2022,2022_564, Nordic RSE conference
755,2022,2022_566,TexComp conferences
758,2022,2022_566,RSE Conference
767,2022,2022_575,German Conference on Bioinformatics (GCB)
774,2022,2022_581,European Research Consortium for Informatics and Mathematics Conference
775,2022,2022_581, European R Users Meeting
777,2022,2022_581,Joint Statistical Meetings
778,2022,2022_581,Royal Statistical Society Conference
779,2022,2022_581,Use of R in Official Statistics Conference
780,2022,2022_581,useR! Conference
782,2022,2022_582,German Group on Vegetation Plot Databases
785,2022,2022_585,The Minerals
786,2022,2022_585,Metals
787,2022,2022_585,and Materials Society
788,2022,2022_585,Materials Research Society
789,2022,2022_585,SIAM
790,2022,2022_585,SciPy
792,2022,2022_586,AGU
794,2022,2022_588,American Physical Society
799,2022,2022_592,Materials Research Society
805,2022,2022_597,TRECVID
810,2022,2022_602,GGF/OGF
813,2022,2022_603,ct.qmat Retreat
816,2022,2022_606,Fire science conferences
824,2022,2022_614,prevention of musculoskeletal disorder
827,2022,2022_616,American Astronomical Society
828,2022,2022_616,Transiting Exoplanet Survey Satelite workshops
833,2022,2022_621,eResearch
834,2022,2022_621,CODATA
835,2022,2022_621,RDA
836,2022,2022_621,EGU
837,2022,2022_621,AGU
838,2022,2022_621,AuScope
850,2022,2022_633,Brightcon
852,2022,2022_635,SeptembRSE
858,2022,2022_641,Supercomputing
863,2022,2022_646,SIAM
864,2022,2022_646,EGU
865,2022,2022_646,AGU
866,2022,2022_646,IGSOC
870,2022,2022_650,MIE
871,2022,2022_650,RSECon
872,2022,2022_650,Informatics for Health
892,2022,2022_670,OHBM
893,2022,2022_670,CuttingMEEG
897,2022,2022_674,IEEE Conference on Big Data
898,2022,2022_675,Climate Change AI at NeurIPS
899,2022,2022_676,RSE Conference
900,2022,2022_676,Digital Humanities Conference
903,2022,2022_679,DPG Frühjahrestagung
904,2022,2022_679,EAAC
905,2022,2022_679,GTC
906,2022,2022_679,LPAW
907,2022,2022_679,HEDLA
912,2022,2022_683,ECMWF HPC Workshop
918,2022,2022_688,geisteswissenschaftliche Tagungen
925,2022,2022_695,IEEE CLUSTER
927,2022,2022_696,Supercomputing
928,2022,2022_696,ISC
929,2022,2022_696,PASC
930,2022,2022_696,Cray User Group
931,2022,2022_696,RSEConUK
932,2022,2022_696,CarpentryCon
937,2022,2022_701,meeting c++
939,2022,2022_703,SORSE
941,2022,2022_703,CAA
942,2022,2022_703,Linked Pasts
943,2022,2022_703,ARCHEO.FOSS
947,2022,2022_707,American Meteorlogical Society Annual Meeting
948,2022,2022_708,UKSystems 
951,2022,2022_710,deRSE
952,2022,2022_710,RSECon UK
953,2022,2022_710,SSI Collaborations Workshop
954,2022,2022_710,ISC High Performance
956,2022,2022_710,some others
958,2022,2022_712,Global Grid Fora/Open Grid Fora 
959,2022,2022_712,UK eScience All Hands Conferences
964,2022,2022_714,ICRC
967,2022,2022_717,CAA
968,2022,2022_717,CLARIN Annual Conference
976,2022,2022_725,Alliance for Digital Humanities Organizations
979,2022,2022_728,Alliance of Digital Humanities Organizations Conference
980,2022,2022_728,Text Encoding Initiative Members Meeting
981,2022,2022_728,Music Encoding Conference
982,2022,2022_728,Digital Libraries for Musicology
988,2022,2022_732,NZ Geothermal Workshop
989,2022,2022_732,Stanford Geothermal Workshop
990,2022,2022_733,NZ RSE
991,2022,2022_733,eResearch NZ
994,2022,2022_735,ELMI
995,2022,2022_735,MMC
996,2022,2022_735,Seeing is Believing
998,2022,2022_737,useR!
1002,2022,2022_741,ADASS
1003,2022,2022_741,EAS
1004,2022,2022_742,RSE conference
1005,2022,2022_743,Scipy
1009,2022,2022_746,Biophysical Society
1014,2022,2022_750,ECAI
1015,2022,2022_750,RCIS
1016,2022,2022_750,CAA
1017,2022,2022_751,SIGCSE
1018,2022,2022_751,ICER
1020,2022,2022_752,Various O'Reilly conferences
1023,2022,2022_752,Micropaleontological Society AGM
1027,2022,2022_755,ICWSM
1028,2022,2022_755,FOSDEM
1029,2022,2022_755,AoIR
1031,2022,2022_757,Coling
1032,2022,2022_757,EACL
1033,2022,2022_757,NAACL
1034,2022,2022_757,ACL
1035,2022,2022_757,LREC
1036,2022,2022_757,EMNLP
1041,2022,2022_761,HBP Summit
1042,2022,2022_761,NICE
1048,2022,2022_767,APS
1049,2022,2022_767,SC
1051,2022,2022_767,special interest meetings
1053,2022,2022_769,ISC
1054,2022,2022_769,SC
1059,2022,2022_774,BCS SGAI 
1062,2022,2022_777, ICAISC
1065,2022,2022_780,ACM VLDB
1066,2022,2022_780,ACM SIGSPATIAL
1068,2022,2022_782,Collaborations Workshop
1089,2022,2022_800,CAOS
1090,2022,2022_800,CRAS
1096,2022,2022_806,SIAM CSE
1097,2022,2022_806,PEARC
1098,2022,2022_806,Supercomputing
1107,2022,2022_813,SIAM GS
1108,2022,2022_813,IMUM
1109,2022,2022_813,COMMODORE
1113,2022,2022_817,ECCOMAS
1114,2022,2022_817,FOSDEM
1115,2022,2022_817,conferences of other software communities
1116,2022,2022_818,Local symposym for university students
1118,2022,2022_820,Spanish R meeting
1125,2022,2022_825,ACH
1126,2022,2022_825,DHCS
1127,2022,2022_825,AAS
1128,2022,2022_825,others
1137,2022,2022_833,EMTF
1138,2022,2022_833,EMIW
1146,2022,2022_841,EGU
1147,2022,2022_841,AGU
1151,2022,2022_845,EGU
1154,2022,2022_848,Computer Aided Verification (CAV)
1176,2022,2022_868,EGU
1177,2022,2022_868,AGU
1178,2022,2022_868,Dask summit
1184,2022,2022_873,EGU
1185,2022,2022_873,DGG
1186,2022,2022_873,GeoKarlsruhe
1187,2022,2022_873,GeoMuenster
1193,2022,2022_879,Mostly in the bioimaging space.
1194,2022,2022_880,Bibliothekartag
1195,2022,2022_880,ELAG
1196,2022,2022_880,WOLFcon
1199,2022,2022_883,EGU
1200,2022,2022_883,Tag der Hydrologie
1203,2022,2022_886,DPG Frühjahrstagung
1214,2022,2022_896,au côtés d'exposés plus généraux
1217,2022,2022_899,Eccomas
1224,2022,2022_905,Planetary Data Workshop
1225,2022,2022_905,American Geophysical Union (AGU) Fall  Meeting
1226,2022,2022_905,European Planetary Science Conference (EPSC)
1228,2022,2022_906,DELFI
1229,2022,2022_906,LEARNTEC
1230,2022,2022_906,ECTEL
1235,2022,2022_910,European Crystallographic Meeting
1236,2022,2022_910,Gordon Research Conference
1238,2022,2022_911,CLEF
1242,2022,2022_914,ADASS
1243,2022,2022_914,ASTERICS
1245,2022,2022_916,RSEConf
1246,2022,2022_916,SSI Collaborations Workshop
1248,2022,2022_918,ISMP
1249,2022,2022_918,own workshops
1253,2022,2022_922,EGU
1254,2022,2022_923,EGU
1257,2022,2022_926,User meeting PETRA
1260,2022,2022_929,Living Planet Symposium
1263,2022,2022_932,CSN
1264,2022,2022_932,SfN
1265,2022,2022_932,HBP Summits
1272,2022,2022_939,SC
1273,2022,2022_939,IWOCL
1274,2022,2022_939,ISC
