,Year_0,row_id,org2_can
157,2017,2017_9,Software collaborations
158,2017,2017_11,Software collaborations
159,2017,2017_13,Software collaborations
160,2017,2017_14,Software collaborations
161,2017,2017_15,Software collaborations
162,2017,2017_17,Software collaborations
163,2017,2017_19,Software collaborations
164,2017,2017_22,Software collaborations
165,2017,2017_23,Software collaborations
166,2017,2017_26,Software collaborations
167,2017,2017_27,Software collaborations
168,2017,2017_29,Software collaborations
169,2017,2017_30,Software collaborations
170,2017,2017_35,Software collaborations
171,2017,2017_38,Software collaborations
172,2017,2017_39,Software collaborations
173,2017,2017_43,Software collaborations
174,2017,2017_44,Software collaborations
175,2017,2017_45,Software collaborations
176,2017,2017_46,Software collaborations
177,2017,2017_48,Software collaborations
178,2017,2017_52,Software collaborations
179,2017,2017_53,Software collaborations
180,2017,2017_54,Software collaborations
181,2017,2017_55,Software collaborations
182,2017,2017_65,Software collaborations
183,2017,2017_71,Software collaborations
184,2017,2017_75,Software collaborations
185,2017,2017_78,Software collaborations
186,2017,2017_82,Software collaborations
187,2017,2017_84,Software collaborations
188,2017,2017_85,Software collaborations
189,2017,2017_91,Software collaborations
190,2017,2017_94,Software collaborations
191,2017,2017_98,Software collaborations
192,2017,2017_99,Software collaborations
193,2017,2017_100,Software collaborations
194,2017,2017_101,Software collaborations
195,2017,2017_106,Software collaborations
196,2017,2017_108,Software collaborations
197,2017,2017_109,Software collaborations
198,2017,2017_929,Software collaborations
199,2017,2017_930,Software collaborations
200,2017,2017_940,Software collaborations
201,2017,2017_949,Software collaborations
202,2017,2017_0,Training
203,2017,2017_1,Training
204,2017,2017_2,Training
205,2017,2017_4,Training
206,2017,2017_5,Training
207,2017,2017_6,Training
208,2017,2017_9,Training
209,2017,2017_13,Training
210,2017,2017_14,Training
211,2017,2017_17,Training
212,2017,2017_23,Training
213,2017,2017_26,Training
214,2017,2017_27,Training
215,2017,2017_30,Training
216,2017,2017_33,Training
217,2017,2017_34,Training
218,2017,2017_41,Training
219,2017,2017_43,Training
220,2017,2017_44,Training
221,2017,2017_45,Training
222,2017,2017_48,Training
223,2017,2017_54,Training
224,2017,2017_55,Training
225,2017,2017_60,Training
226,2017,2017_62,Training
227,2017,2017_65,Training
228,2017,2017_68,Training
229,2017,2017_71,Training
230,2017,2017_78,Training
231,2017,2017_82,Training
232,2017,2017_83,Training
233,2017,2017_84,Training
234,2017,2017_87,Training
235,2017,2017_91,Training
236,2017,2017_94,Training
237,2017,2017_98,Training
238,2017,2017_99,Training
239,2017,2017_101,Training
240,2017,2017_108,Training
241,2017,2017_109,Training
242,2017,2017_937,Training
243,2017,2017_945,Training
244,2017,2017_949,Training
