,Year_0,row_id,open3de_0
112,2017,2017_112,zenodo
115,2017,2017_115,zenodo
116,2017,2017_116,pangaea
118,2017,2017_118,zenodo
119,2017,2017_118,figshare
120,2017,2017_119,zenodo
130,2017,2017_129,zenodo
137,2017,2017_136,ezid
138,2017,2017_136,zenodo
139,2017,2017_136,bibliothek
140,2017,2017_137,zenodo
143,2017,2017_140,figshare
144,2017,2017_141,zenodo
145,2017,2017_142,bibliothek
146,2017,2017_142,zenodo
149,2017,2017_145,zenodo
152,2017,2017_147,figshare
153,2017,2017_147,zenodo
159,2017,2017_153,zenodo
164,2017,2017_158,zenodo
179,2017,2017_173,zenodo
182,2017,2017_176,zenodo
196,2017,2017_190,zenodo
205,2017,2017_199,zenodo
209,2017,2017_203,bibliothek gfz
216,2017,2017_210,epic
219,2017,2017_213,zenodo
227,2017,2017_221,zenodo
235,2017,2017_228,zenodo
236,2017,2017_229,local library
243,2017,2017_236,local library
271,2017,2017_264,local procedure
278,2017,2017_270,zenodo
286,2017,2017_278,zenodo
290,2017,2017_282,zenodo
300,2017,2017_292,zenodo
303,2017,2017_295,bibliothek
330,2017,2017_322,zenodo
350,2017,2017_341,figshare.com
354,2017,2017_345,zenodo
363,2017,2017_354,zenodo
366,2017,2017_357,dpm
398,2017,2017_389,zenodo
403,2017,2017_394,zenodo
411,2017,2017_402,zenodo
412,2017,2017_403,bibliothek
427,2017,2017_418,zenodo
432,2017,2017_423,zenodo
436,2017,2017_427,zenodo
439,2017,2017_430,zenodo
440,2017,2017_431,gfz
