,Year_0,row_id,ukrse2
0,2017,2017_110,DE-RSE Community
1,2017,2017_111,DE-RSE Community
2,2017,2017_113,DE-RSE Community
3,2017,2017_115,DE-RSE Community
4,2017,2017_118,DE-RSE Community
5,2017,2017_121,DE-RSE Community
6,2017,2017_122,DE-RSE Community
7,2017,2017_149,DE-RSE Community
8,2017,2017_154,DE-RSE Community
9,2017,2017_164,DE-RSE Community
10,2017,2017_183,DE-RSE Community
11,2017,2017_190,DE-RSE Community
12,2017,2017_271,DE-RSE Community
13,2017,2017_317,DE-RSE Community
14,2017,2017_319,DE-RSE Community
15,2017,2017_322,DE-RSE Community
16,2017,2017_342,DE-RSE Community
17,2017,2017_349,DE-RSE Community
18,2017,2017_370,DE-RSE Community
19,2017,2017_401,DE-RSE Community
20,2017,2017_439,NL-RSE Association
21,2017,2017_466,NL-RSE Association
22,2017,2017_482,NL-RSE Association
23,2017,2017_495,NL-RSE Association
24,2017,2017_436,Local group/network
25,2017,2017_438,Local group/network
26,2017,2017_439,Local group/network
27,2017,2017_441,Local group/network
28,2017,2017_442,Local group/network
29,2017,2017_443,Local group/network
30,2017,2017_444,Local group/network
31,2017,2017_448,Local group/network
32,2017,2017_449,Local group/network
33,2017,2017_454,Local group/network
34,2017,2017_455,Local group/network
35,2017,2017_456,Local group/network
36,2017,2017_457,Local group/network
37,2017,2017_458,Local group/network
38,2017,2017_461,Local group/network
39,2017,2017_463,Local group/network
40,2017,2017_465,Local group/network
41,2017,2017_466,Local group/network
42,2017,2017_467,Local group/network
43,2017,2017_470,Local group/network
44,2017,2017_471,Local group/network
45,2017,2017_472,Local group/network
46,2017,2017_475,Local group/network
47,2017,2017_476,Local group/network
48,2017,2017_477,Local group/network
49,2017,2017_479,Local group/network
50,2017,2017_480,Local group/network
51,2017,2017_481,Local group/network
52,2017,2017_483,Local group/network
53,2017,2017_486,Local group/network
54,2017,2017_488,Local group/network
55,2017,2017_489,Local group/network
56,2017,2017_490,Local group/network
57,2017,2017_492,Local group/network
58,2017,2017_493,Local group/network
59,2017,2017_494,Local group/network
60,2017,2017_495,Local group/network
61,2017,2017_496,Local group/network
62,2017,2017_500,Local group/network
63,2017,2017_503,Local group/network
64,2017,2017_508,Local group/network
65,2017,2017_509,Local group/network
