,Year_0,row_id,proj6zaf
0,2017,2017_929,Github
1,2017,2017_930,Github
2,2017,2017_932,Github
3,2017,2017_935,Github
4,2017,2017_937,Github
5,2017,2017_938,Github
6,2017,2017_939,Github
7,2017,2017_941,Github
8,2017,2017_942,Github
9,2017,2017_948,Github
10,2017,2017_949,Github
11,2017,2017_950,Github
12,2017,2017_932,Bitbucket
13,2017,2017_935,Bitbucket
14,2017,2017_940,Institutional Repository
15,2017,2017_945,Institutional Repository
16,2017,2017_947,Institutional Repository
17,2017,2017_931,None
18,2017,2017_943,None
19,2017,2017_946,None
