,Year_0,row_id,fund2
0,2017,2017_937,Not applicable
1,2017,2017_941,Not applicable
2,2017,2017_948,Not applicable
3,2017,2017_950,Not applicable
4,2017,2017_738,Advertising & sponsorships
5,2017,2017_320,Associations and chambers
6,2017,2017_738,Books & merchandise
7,2017,2017_929,Books & merchandise
8,2017,2017_121,Consulting & services
9,2017,2017_136,Consulting & services
10,2017,2017_268,Consulting & services
11,2017,2017_402,Consulting & services
12,2017,2017_532,Consulting & services
13,2017,2017_570,Consulting & services
14,2017,2017_583,Consulting & services
15,2017,2017_586,Consulting & services
16,2017,2017_591,Consulting & services
17,2017,2017_594,Consulting & services
18,2017,2017_602,Consulting & services
19,2017,2017_639,Consulting & services
20,2017,2017_651,Consulting & services
21,2017,2017_675,Consulting & services
22,2017,2017_698,Consulting & services
23,2017,2017_699,Consulting & services
24,2017,2017_716,Consulting & services
25,2017,2017_722,Consulting & services
26,2017,2017_738,Consulting & services
27,2017,2017_762,Consulting & services
28,2017,2017_763,Consulting & services
29,2017,2017_825,Consulting & services
30,2017,2017_850,Consulting & services
31,2017,2017_865,Consulting & services
32,2017,2017_900,Consulting & services
33,2017,2017_909,Consulting & services
34,2017,2017_932,Consulting & services
35,2017,2017_738,Crowdfunding (one-time)
36,2017,2017_111,"DFG, German Research Foundation"
37,2017,2017_112,"DFG, German Research Foundation"
38,2017,2017_114,"DFG, German Research Foundation"
39,2017,2017_116,"DFG, German Research Foundation"
40,2017,2017_118,"DFG, German Research Foundation"
41,2017,2017_127,"DFG, German Research Foundation"
42,2017,2017_131,"DFG, German Research Foundation"
43,2017,2017_134,"DFG, German Research Foundation"
44,2017,2017_135,"DFG, German Research Foundation"
45,2017,2017_136,"DFG, German Research Foundation"
46,2017,2017_138,"DFG, German Research Foundation"
47,2017,2017_141,"DFG, German Research Foundation"
48,2017,2017_145,"DFG, German Research Foundation"
49,2017,2017_147,"DFG, German Research Foundation"
50,2017,2017_152,"DFG, German Research Foundation"
51,2017,2017_158,"DFG, German Research Foundation"
52,2017,2017_165,"DFG, German Research Foundation"
53,2017,2017_167,"DFG, German Research Foundation"
54,2017,2017_169,"DFG, German Research Foundation"
55,2017,2017_173,"DFG, German Research Foundation"
56,2017,2017_175,"DFG, German Research Foundation"
57,2017,2017_178,"DFG, German Research Foundation"
58,2017,2017_181,"DFG, German Research Foundation"
59,2017,2017_183,"DFG, German Research Foundation"
60,2017,2017_185,"DFG, German Research Foundation"
61,2017,2017_190,"DFG, German Research Foundation"
62,2017,2017_191,"DFG, German Research Foundation"
63,2017,2017_200,"DFG, German Research Foundation"
64,2017,2017_201,"DFG, German Research Foundation"
65,2017,2017_203,"DFG, German Research Foundation"
66,2017,2017_204,"DFG, German Research Foundation"
67,2017,2017_210,"DFG, German Research Foundation"
68,2017,2017_211,"DFG, German Research Foundation"
69,2017,2017_213,"DFG, German Research Foundation"
70,2017,2017_214,"DFG, German Research Foundation"
71,2017,2017_216,"DFG, German Research Foundation"
72,2017,2017_222,"DFG, German Research Foundation"
73,2017,2017_228,"DFG, German Research Foundation"
74,2017,2017_230,"DFG, German Research Foundation"
75,2017,2017_236,"DFG, German Research Foundation"
76,2017,2017_252,"DFG, German Research Foundation"
77,2017,2017_260,"DFG, German Research Foundation"
78,2017,2017_267,"DFG, German Research Foundation"
79,2017,2017_274,"DFG, German Research Foundation"
80,2017,2017_288,"DFG, German Research Foundation"
81,2017,2017_294,"DFG, German Research Foundation"
82,2017,2017_299,"DFG, German Research Foundation"
83,2017,2017_301,"DFG, German Research Foundation"
84,2017,2017_302,"DFG, German Research Foundation"
85,2017,2017_303,"DFG, German Research Foundation"
86,2017,2017_305,"DFG, German Research Foundation"
87,2017,2017_317,"DFG, German Research Foundation"
88,2017,2017_319,"DFG, German Research Foundation"
89,2017,2017_322,"DFG, German Research Foundation"
90,2017,2017_323,"DFG, German Research Foundation"
91,2017,2017_325,"DFG, German Research Foundation"
92,2017,2017_326,"DFG, German Research Foundation"
93,2017,2017_327,"DFG, German Research Foundation"
94,2017,2017_330,"DFG, German Research Foundation"
95,2017,2017_331,"DFG, German Research Foundation"
96,2017,2017_334,"DFG, German Research Foundation"
97,2017,2017_336,"DFG, German Research Foundation"
98,2017,2017_339,"DFG, German Research Foundation"
99,2017,2017_340,"DFG, German Research Foundation"
100,2017,2017_341,"DFG, German Research Foundation"
101,2017,2017_343,"DFG, German Research Foundation"
102,2017,2017_349,"DFG, German Research Foundation"
103,2017,2017_352,"DFG, German Research Foundation"
104,2017,2017_354,"DFG, German Research Foundation"
105,2017,2017_359,"DFG, German Research Foundation"
106,2017,2017_365,"DFG, German Research Foundation"
107,2017,2017_368,"DFG, German Research Foundation"
108,2017,2017_370,"DFG, German Research Foundation"
109,2017,2017_377,"DFG, German Research Foundation"
110,2017,2017_379,"DFG, German Research Foundation"
111,2017,2017_381,"DFG, German Research Foundation"
112,2017,2017_385,"DFG, German Research Foundation"
113,2017,2017_388,"DFG, German Research Foundation"
114,2017,2017_389,"DFG, German Research Foundation"
115,2017,2017_393,"DFG, German Research Foundation"
