,Year_0,row_id,train3_0
110,2017,2017_110,carpentries
111,2017,2017_111,carpentries
112,2017,2017_112,lehrgänge an unis
113,2017,2017_113,institutsinterne fortbildungen
114,2017,2017_114,summer schools u.ä.
115,2017,2017_115,carpentries
116,2017,2017_115,unregelmäßige selbstorganisierte workshops
120,2017,2017_119,carpentries
122,2017,2017_121,werkzeuggestüzte softwareentwicklung
124,2017,2017_121,nutzung von git
126,2017,2017_123,carpentries
127,2017,2017_124,graduate schools
133,2017,2017_130,workshops
134,2017,2017_130,unterricht an uni
135,2017,2017_131,sommerschulen in mexiko
136,2017,2017_131,sommerschulen in brasilien
137,2017,2017_131,workshops an eigener universität
138,2017,2017_132,lehrgang an universität
139,2017,2017_132,interne softwareschulung
140,2017,2017_133,interne weiterbildung
141,2017,2017_133,einführung von neuen mitarbeitern
142,2017,2017_134,lehrgang an universitäten
143,2017,2017_134,icmmes
144,2017,2017_135,universitäten
145,2017,2017_135,hausinterne schulungen
146,2017,2017_135,konferenzen
148,2017,2017_137,graduiertenprogramme
149,2017,2017_137,forschungseinrichtungen
151,2017,2017_139,lehrgang an universitäten
154,2017,2017_142,interne weiterbildungen
160,2017,2017_148,duales studium
161,2017,2017_149,kurse an der universität
162,2017,2017_149,studentenbetreuung
166,2017,2017_153,nur direkt bei kollegen
167,2017,2017_154,neubias 
168,2017,2017_155,local university
169,2017,2017_155,winter school
173,2017,2017_159,keine
174,2017,2017_160,(nothing formal)
176,2017,2017_162,lehrgang an eigener universität
177,2017,2017_162,trends in africa
178,2017,2017_162,workshop in chile
181,2017,2017_165,local university
182,2017,2017_165,student assistent training
185,2017,2017_168,interdiziplinäre projektarbeit
188,2017,2017_171,schulung jungwissenschaftler
189,2017,2017_171,weiterbildung anwender in praxis
191,2017,2017_173,university teaching
192,2017,2017_173,phd program
193,2017,2017_173,summer school
194,2017,2017_173,hackathons
197,2017,2017_176,spring school in quantitative methods am mpi shh
200,2017,2017_179,lehrgang an instituten
202,2017,2017_181,carpentries
204,2017,2017_183,local university
205,2017,2017_184,übung mit studenten
209,2017,2017_187,keine
210,2017,2017_188,keine
211,2017,2017_189,lehrgänge für institutsmitarbeiter
212,2017,2017_190,carpentries
213,2017,2017_190,studenten praktika
214,2017,2017_191,lehrgang python
215,2017,2017_192,im rahmen von vorlesungen an uni
216,2017,2017_192,individuelle betreuung aller doktoranden innerhalb eigenen arbeitsgruppe
219,2017,2017_195,interne lehrgänge in der arbeitsgruppe
220,2017,2017_196,local
223,2017,2017_198,lehrgänge für wissenschaftler der ligo/virgo kollaboration
226,2017,2017_201,carpentries
227,2017,2017_201,lehrgang an universitäten
228,2017,2017_201,summer schools
230,2017,2017_203,vorlesungen
231,2017,2017_203,workshops
232,2017,2017_204,lehrgang an universität
237,2017,2017_209,lokale workshops
240,2017,2017_212, 
242,2017,2017_214,no comment
243,2017,2017_214,no comment
245,2017,2017_216,keine
247,2017,2017_218,ligo scientific collaboration workshops
249,2017,2017_220,workshops an universitäten
250,2017,2017_220,workshops der ag caa
251,2017,2017_221,local university
252,2017,2017_221,invited workshops at different research institutes
256,2017,2017_225,carpentries
259,2017,2017_228,praktika/kurse für studenten an der uni
260,2017,2017_229,local university
261,2017,2017_230,lehrgang an universitäten
263,2017,2017_232,cajal workshop
264,2017,2017_232,connectomics workbench
268,2017,2017_236,carpentries
270,2017,2017_238,volesung zu objektorientiertem programmieren
275,2017,2017_243,workshops
280,2017,2017_248,interne mitarbeiterschulung
282,2017,2017_250,derzeit keine workshops
285,2017,2017_252,training my graduate students
287,2017,2017_254,keine
290,2017,2017_257,interne lehrgänge
294,2017,2017_261,lehrgang an universitäten
296,2017,2017_263,internships
297,2017,2017_264,local courses
298,2017,2017_264,workshops
299,2017,2017_265,local university
300,2017,2017_266,lehrgang an universitäten
301,2017,2017_266,vorlesung
303,2017,2017_268,firmeneigene schulungen
304,2017,2017_268,gastvorlesungen
305,2017,2017_268,workshops bei konferenzen
308,2017,2017_271,lehrgänge am institut
310,2017,2017_273,community workshops 
311,2017,2017_274,gromacs workshop
313,2017,2017_276,local training
314,2017,2017_276,software workshop at summer school
317,2017,2017_279,zentrumsinterne lehrgänge
318,2017,2017_280,programming techniques for machine learning
319,2017,2017_280,computer vision
320,2017,2017_280,programming languages
321,2017,2017_280,software engineering
322,2017,2017_281,sectionsinterne schulungen
324,2017,2017_283,in group training
325,2017,2017_284,keine
328,2017,2017_287,keine
331,2017,2017_290,workshops im ausland
332,2017,2017_290,trainingskurse
334,2017,2017_292,formal workshops
335,2017,2017_292,informal
342,2017,2017_299,lehrgang an universitäten
343,2017,2017_300, lehrgang an universitäten
344,2017,2017_300,sage days
345,2017,2017_300,pari ateliers
349,2017,2017_304,nix
350,2017,2017_305,lehrstuhlinterne hackathons
354,2017,2017_309,in house trainings
355,2017,2017_309,conference tutorials
356,2017,2017_310,unix for biologists
357,2017,2017_311,matlab kurs im maser der uni
359,2017,2017_313,uni
