,Year_0,row_id,currentEmp13
0,2017,2017_940,African languages
1,2017,2017_206,Accounting & Finance
2,2017,2017_296,Accounting & Finance
3,2017,2017_301,Accounting & Finance
4,2017,2017_857,Accounting & Finance
5,2017,2017_929,Accounting & Finance
6,2017,2017_932,Accounting & Finance
7,2017,2017_223,Aeronautical & Manufacturing Engineering
8,2017,2017_268,Aeronautical & Manufacturing Engineering
9,2017,2017_387,Aeronautical & Manufacturing Engineering
10,2017,2017_549,Aeronautical & Manufacturing Engineering
11,2017,2017_562,Aeronautical & Manufacturing Engineering
12,2017,2017_636,Aeronautical & Manufacturing Engineering
13,2017,2017_642,Aeronautical & Manufacturing Engineering
14,2017,2017_666,Aeronautical & Manufacturing Engineering
15,2017,2017_681,Aeronautical & Manufacturing Engineering
16,2017,2017_683,Aeronautical & Manufacturing Engineering
17,2017,2017_706,Aeronautical & Manufacturing Engineering
18,2017,2017_716,Aeronautical & Manufacturing Engineering
19,2017,2017_729,Aeronautical & Manufacturing Engineering
20,2017,2017_759,Aeronautical & Manufacturing Engineering
21,2017,2017_783,Aeronautical & Manufacturing Engineering
22,2017,2017_792,Aeronautical & Manufacturing Engineering
23,2017,2017_796,Aeronautical & Manufacturing Engineering
24,2017,2017_857,Aeronautical & Manufacturing Engineering
25,2017,2017_862,Aeronautical & Manufacturing Engineering
26,2017,2017_921,Aeronautical & Manufacturing Engineering
27,2017,2017_928,Aeronautical & Manufacturing Engineering
28,2017,2017_113,Agriculture & Forestry
29,2017,2017_171,Agriculture & Forestry
30,2017,2017_224,Agriculture & Forestry
31,2017,2017_304,Agriculture & Forestry
32,2017,2017_341,Agriculture & Forestry
33,2017,2017_381,Agriculture & Forestry
34,2017,2017_432,Agriculture & Forestry
35,2017,2017_465,Agriculture & Forestry
36,2017,2017_472,Agriculture & Forestry
37,2017,2017_551,Agriculture & Forestry
38,2017,2017_562,Agriculture & Forestry
39,2017,2017_623,Agriculture & Forestry
40,2017,2017_651,Agriculture & Forestry
41,2017,2017_675,Agriculture & Forestry
42,2017,2017_698,Agriculture & Forestry
43,2017,2017_790,Agriculture & Forestry
44,2017,2017_852,Agriculture & Forestry
45,2017,2017_857,Agriculture & Forestry
46,2017,2017_904,Agriculture & Forestry
47,2017,2017_908,Agriculture & Forestry
48,2017,2017_488,American Studies
49,2017,2017_729,American Studies
50,2017,2017_929,American Studies
51,2017,2017_162,Anatomy & Physiology
52,2017,2017_171,Anatomy & Physiology
53,2017,2017_232,Anatomy & Physiology
54,2017,2017_419,Anatomy & Physiology
55,2017,2017_540,Anatomy & Physiology
56,2017,2017_545,Anatomy & Physiology
57,2017,2017_551,Anatomy & Physiology
58,2017,2017_562,Anatomy & Physiology
59,2017,2017_607,Anatomy & Physiology
60,2017,2017_673,Anatomy & Physiology
