,Year_0,row_id,tool4can
0,2017,2017_0,mostly
1,2017,2017_0,rapid prototyping languages at the moment.
2,2017,2017_1,java
3,2017,2017_1,scala
4,2017,2017_1,python
5,2017,2017_2,fortran
6,2017,2017_2,python
7,2017,2017_2,c++
8,2017,2017_3,"ruby,js"
9,2017,2017_4,r
10,2017,2017_4,ruby (et rails)
11,2017,2017_4,perl
12,2017,2017_5,java
13,2017,2017_5,perl
14,2017,2017_5,r
15,2017,2017_6,python
16,2017,2017_6,matlab
17,2017,2017_7,js
18,2017,2017_7,scala
19,2017,2017_8,python
20,2017,2017_8,c++
21,2017,2017_9,matlab
22,2017,2017_9,python
23,2017,2017_10,java
24,2017,2017_10,c
25,2017,2017_10,c++
26,2017,2017_11,javascript
27,2017,2017_11,java
28,2017,2017_11,objective c
29,2017,2017_12,python
30,2017,2017_13,ruby
31,2017,2017_13,python
32,2017,2017_13,c++
33,2017,2017_14,java
34,2017,2017_14,r
35,2017,2017_14,perl
36,2017,2017_14,bash (shell scripting)
37,2017,2017_15,python
38,2017,2017_15,sql
39,2017,2017_15,javascript
40,2017,2017_15,matlab
41,2017,2017_17,python
42,2017,2017_17,java
43,2017,2017_17,php
44,2017,2017_17,fortran
45,2017,2017_17,c
46,2017,2017_18,java
47,2017,2017_18,javascript
48,2017,2017_18,shell (bash)
49,2017,2017_19,java
50,2017,2017_19,python
51,2017,2017_19,javascript
52,2017,2017_22,php
53,2017,2017_22,asp.net 
54,2017,2017_22,html
55,2017,2017_22,js
56,2017,2017_22,jquery
57,2017,2017_22,js node
58,2017,2017_23,php
59,2017,2017_23,r
60,2017,2017_23,javascript
61,2017,2017_23,
62,2017,2017_27,java
63,2017,2017_27,javascript
64,2017,2017_27,python
65,2017,2017_28,c 
66,2017,2017_28,javascript 
67,2017,2017_28,b
68,2017,2017_29,c++
69,2017,2017_29,python
70,2017,2017_29,matlab
71,2017,2017_29,javascript
72,2017,2017_29,c
73,2017,2017_29,java
74,2017,2017_29,scala
75,2017,2017_30,c
76,2017,2017_30,matlab
77,2017,2017_30,python
78,2017,2017_32,java
79,2017,2017_32,python
80,2017,2017_32,c
81,2017,2017_33,java python html
82,2017,2017_34,asp.net
83,2017,2017_34,c#
84,2017,2017_34,php
85,2017,2017_35,c/c++
86,2017,2017_35,php
87,2017,2017_35,c#
88,2017,2017_35,javascript
89,2017,2017_35,java
90,2017,2017_35,matlab/octave
91,2017,2017_36,c#
92,2017,2017_36,html
93,2017,2017_36,javascript
94,2017,2017_36,c++
95,2017,2017_36,php
96,2017,2017_36,java
97,2017,2017_38,c
98,2017,2017_38,bash
99,2017,2017_38,php
100,2017,2017_38,asp.net
101,2017,2017_38,python
102,2017,2017_40,java
103,2017,2017_40,c/c++
104,2017,2017_40,python
105,2017,2017_40,javascript
106,2017,2017_40,perl
107,2017,2017_41,fortran
108,2017,2017_43,r language mainly
109,2017,2017_43,c++
110,2017,2017_44,c++
111,2017,2017_44,matlab and python.
112,2017,2017_45,c++
113,2017,2017_45,matlab
114,2017,2017_45,python
115,2017,2017_46,r
116,2017,2017_46,c++
117,2017,2017_46,c
118,2017,2017_47,python
119,2017,2017_47,c++
120,2017,2017_48,java
121,2017,2017_48,matlab
122,2017,2017_48,vba
123,2017,2017_48,ti-83+ (and newer equivalents) basic
124,2017,2017_51,python
125,2017,2017_51,bash
126,2017,2017_51,c++
127,2017,2017_51,perl
128,2017,2017_52,c++
129,2017,2017_52,python
130,2017,2017_53,c++
131,2017,2017_53,cuda
132,2017,2017_53,glsl
133,2017,2017_54,jekarj  l r eklr  ergklgre
134,2017,2017_55,octave
135,2017,2017_55,javascript
136,2017,2017_55,python
137,2017,2017_57,c++
138,2017,2017_59,pearl
139,2017,2017_59,c / c++
140,2017,2017_60,"c++,c"
141,2017,2017_60,python
142,2017,2017_61,c/c++
143,2017,2017_61,java
144,2017,2017_62,javascript
145,2017,2017_63,python
146,2017,2017_63,c++
147,2017,2017_63,bash
148,2017,2017_63,c
149,2017,2017_63,"perl,"
150,2017,2017_64,perl
