,Year_0,row_id,conf2can_0
443,2017,2017_320,ICIAP
444,2017,2017_320,SPPRA
445,2017,2017_320,ICIAR
446,2017,2017_321,VLDB
447,2017,2017_321,SIGMOD
448,2017,2017_321,ICDE
449,2017,2017_321,SSTD
450,2017,2017_321,DASFAA
451,2017,2017_321,SSDBM
452,2017,2017_322,zu viele für dieses Textfeld
453,2017,2017_323,SWiB
454,2017,2017_323,Open Repositories
455,2017,2017_323,Bibliothekartag
457,2017,2017_324,European Light Microscopy Initiative Meeting (ELMI)
458,2017,2017_324,INCF Nodes Workshop
460,2017,2017_325,Computer Applications and Quantitative Methods in Archaeology (CAA)
461,2017,2017_326,DH
462,2017,2017_326,DHd
465,2017,2017_328,EGU
466,2017,2017_328,Modelica Conference
467,2017,2017_328,DECHEMA Workshop
468,2017,2017_329,DHd
469,2017,2017_330,DH
470,2017,2017_330,DHd
471,2017,2017_331,dh
472,2017,2017_331,dhd
475,2017,2017_334,SEI
476,2017,2017_334,ICALEPCS
477,2017,2017_335,iccs
481,2017,2017_339, European Geosciences Union General Assembly (EGU)
483,2017,2017_341,EGU General Assembly
484,2017,2017_342,DHD
485,2017,2017_342,DH
487,2017,2017_344,MODEGAT
488,2017,2017_344,ICOSCAR
493,2017,2017_349,LVC Meeting
494,2017,2017_350,EGU
495,2017,2017_350,AGU
497,2017,2017_352,project workshop
500,2017,2017_355,ESCAPE
501,2017,2017_355,FEniCS
502,2017,2017_355,ProcessNet CFD
503,2017,2017_356,KIT Big Data Workshop
504,2017,2017_356,LSDMA Workshop
516,2017,2017_368,SC
522,2017,2017_373,EasyREMO / Climate Workshop
523,2017,2017_373,Windhoek
524,2017,2017_373,Namibia
526,2017,2017_374,DHd
527,2017,2017_374,FORGE
528,2017,2017_375,IEEE Vis
529,2017,2017_376,EGU
531,2017,2017_378,Edirom Summer School (ESS)
532,2017,2017_379,Swmcon
533,2017,2017_379,isi
535,2017,2017_381,GfÖ Annual Meeting
536,2017,2017_381,UserDevConf (klein + intern)
537,2017,2017_381,projektinterne Workshops
539,2017,2017_383,NUSOD
540,2017,2017_384,european geoscience union (EGU)
541,2017,2017_385,ICCM
542,2017,2017_385,ICCS
543,2017,2017_385,NAFEMS
545,2017,2017_387,diverse
547,2017,2017_389,EGU
548,2017,2017_390,TEAP
550,2017,2017_392,EGU
552,2017,2017_394,VizBI (VizBI)
553,2017,2017_394,Focus on Microscopy (FOM)
554,2017,2017_394,DPG Frühjahrstagung (DPGF)
556,2017,2017_396,TAC
557,2017,2017_396,ICCP
558,2017,2017_397,SALZBURG WORKSHOP ON DEPENDENCE MODELING
559,2017,2017_398,European Meteorological Society
560,2017,2017_399,Misc IEEE
563,2017,2017_401,Second Conference of Research Software Engineers (RSE)
564,2017,2017_401, Free and Open Source Software Conference (FrOSCon)
565,2017,2017_401,OpenSym
566,2017,2017_402,VIB Bioinformatics
567,2017,2017_403,EGU
568,2017,2017_403,DGG
570,2017,2017_405,Jahrestagung der Deutschen Physikalischen Gesellschaft (DPG)
575,2017,2017_409,TechTreffen Berlin
585,2017,2017_418,COMBINE
586,2017,2017_418,HARMONY
587,2017,2017_418,ICSB
590,2017,2017_421,Applied Bioinformatics and Public Health Microbiology (ABPHM)
591,2017,2017_422,BVM
592,2017,2017_422,RSNA
593,2017,2017_422,ASTRO
595,2017,2017_424,AGU
596,2017,2017_424,EGU
597,2017,2017_424,OGS Community Meetings
599,2017,2017_426,ISC
600,2017,2017_426,SC
603,2017,2017_427,SIAM GS
604,2017,2017_427,EGU
609,2017,2017_432,Earsel
610,2017,2017_433,Goldschmidt
