,Year_0,row_id,proj3zaf
0,2017,2017_929,Same institution
1,2017,2017_933,Same institution
2,2017,2017_935,Same institution
3,2017,2017_938,Same institution
4,2017,2017_940,Same institution
5,2017,2017_941,Same institution
6,2017,2017_942,Same institution
7,2017,2017_945,Same institution
8,2017,2017_930,Other organisation
9,2017,2017_932,Other organisation
10,2017,2017_939,Other organisation
11,2017,2017_931,Not applicable
12,2017,2017_937,Not applicable
13,2017,2017_943,Not applicable
14,2017,2017_946,Not applicable
15,2017,2017_947,Not applicable
16,2017,2017_948,Not applicable
17,2017,2017_949,Not applicable
18,2017,2017_950,Not applicable
